=============================================================
 starting episode: 100/2000
Client connected on 3109..............
Ep:100 step:0(64193), a_t=[s= 1.00, t= 1.000000, b= 0.000001], r_t=[r= 0.59, prog= 0.59, pen=-0.00, r_old= 0.59], Reward=  0.59 /  0.59 /  15224.45, epsilon=  0.813, speed=  0.20, gear= 1, damage= 0.00
Ep:100 step:220(64413), a_t=[s=-1.00, t= 1.000000, b= 0.999998], r_t=[r= 0.02, prog= 0.05, pen=-0.03, r_old= 0.02], Reward=  8294.14 /  8294.14 /  15224.45, epsilon=  0.813, speed=  0.02, gear= 1, damage= 0.00
Ep:100 step:240(64433), a_t=[s=-1.00, t= 1.000000, b= 0.999998], r_t=[r= 0.01, prog= 0.02, pen=-0.01, r_old= 0.01], Reward=  8293.96 /  8293.96 /  15224.45, epsilon=  0.813, speed=  0.01, gear= 1, damage= 0.00
Ep:100 step:260(64453), a_t=[s=-1.00, t= 1.000000, b= 0.999998], r_t=[r=-0.01, prog=-0.02, pen= 0.01, r_old=-0.01], Reward=  8294.00 /  8294.00 /  15224.45, epsilon=  0.813, speed= -0.01, gear= 1, damage= 0.00
Ep:100 step:280(64473), a_t=[s=-1.00, t= 1.000000, b= 0.999998], r_t=[r= 0.05, prog= 0.12, pen=-0.07, r_old= 0.05], Reward=  8294.32 /  8294.32 /  15224.45, epsilon=  0.813, speed=  0.04, gear= 1, damage= 0.00
Ep:100 step:300(64493), a_t=[s=-1.00, t= 1.000000, b= 0.999998], r_t=[r=-0.03, prog=-0.06, pen= 0.03, r_old=-0.03], Reward=  8294.33 /  8294.33 /  15224.45, epsilon=  0.813, speed= -0.02, gear= 1, damage= 0.00
Ep:100 step:320(64513), a_t=[s=-1.00, t= 1.000000, b= 0.999998], r_t=[r=-0.01, prog=-0.02, pen= 0.01, r_old=-0.01], Reward=  8294.45 /  8294.45 /  15224.45, epsilon=  0.813, speed= -0.01, gear= 1, damage= 0.00
Ep:100 step:340(64533), a_t=[s=-1.00, t= 1.000000, b= 0.999998], r_t=[r=-0.01, prog=-0.02, pen= 0.01, r_old=-0.01], Reward=  8294.70 /  8294.70 /  15224.45, epsilon=  0.813, speed= -0.01, gear= 1, damage= 0.00
Ep:100 step:360(64553), a_t=[s=-1.00, t= 1.000000, b= 0.999998], r_t=[r= 0.02, prog= 0.06, pen=-0.03, r_old= 0.02], Reward=  8294.70 /  8294.70 /  15224.45, epsilon=  0.813, speed=  0.02, gear= 1, damage= 0.00
Ep:100 step:380(64573), a_t=[s=-1.00, t= 1.000000, b= 0.999998], r_t=[r=-0.03, prog=-0.05, pen= 0.03, r_old=-0.03], Reward=  8295.11 /  8295.11 /  15224.45, epsilon=  0.813, speed= -0.02, gear= 1, damage= 0.00
Ep:100 step:400(64593), a_t=[s=-1.00, t= 1.000000, b= 0.999998], r_t=[r=-0.01, prog=-0.02, pen= 0.01, r_old=-0.01], Reward=  8295.54 /  8295.54 /  15224.45, epsilon=  0.813, speed= -0.01, gear= 1, damage= 0.00
Ep:100 step:420(64613), a_t=[s=-1.00, t= 1.000000, b= 0.999998], r_t=[r= 0.03, prog= 0.08, pen=-0.05, r_old= 0.03], Reward=  8295.72 /  8295.72 /  15224.45, epsilon=  0.813, speed=  0.03, gear= 1, damage= 0.00
Ep:100 step:440(64633), a_t=[s=-1.00, t= 1.000000, b= 0.999998], r_t=[r= 0.02, prog= 0.05, pen=-0.03, r_old= 0.02], Reward=  8295.85 /  8295.85 /  15224.45, epsilon=  0.813, speed=  0.02, gear= 1, damage= 0.00
Ep:100 step:460(64653), a_t=[s=-1.00, t= 1.000000, b= 0.999998], r_t=[r=-0.10, prog=-0.20, pen= 0.10, r_old=-0.10], Reward=  8295.73 /  8295.73 /  15224.45, epsilon=  0.813, speed= -0.07, gear= 1, damage= 0.00
Ep:100 step:480(64673), a_t=[s=-1.00, t= 1.000000, b= 0.999998], r_t=[r=-0.03, prog=-0.07, pen= 0.03, r_old=-0.03], Reward=  8295.71 /  8295.71 /  15224.45, epsilon=  0.813, speed= -0.02, gear= 1, damage= 0.00
Ep:100 step:500(64693), a_t=[s=-1.00, t= 1.000000, b= 0.999998], r_t=[r= 0.03, prog= 0.08, pen=-0.05, r_old= 0.03], Reward=  8295.88 /  8295.88 /  15224.45, epsilon=  0.813, speed=  0.03, gear= 1, damage= 0.00
Ep:100 step:520(64713), a_t=[s=-1.00, t= 1.000000, b= 0.999998], r_t=[r= 0.00, prog= 0.00, pen=-0.00, r_old= 0.00], Reward=  8295.71 /  8295.71 /  15224.45, epsilon=  0.813, speed=  0.00, gear= 1, damage= 0.00
Ep:100 step:540(64733), a_t=[s=-1.00, t= 1.000000, b= 0.999998], r_t=[r= 0.00, prog= 0.00, pen=-0.00, r_old= 0.00], Reward=  8296.07 /  8296.07 /  15224.45, epsilon=  0.813, speed=  0.00, gear= 1, damage= 0.00
Ep:100 step:560(64753), a_t=[s=-1.00, t= 1.000000, b= 0.999998], r_t=[r=-0.06, prog=-0.11, pen= 0.05, r_old=-0.06], Reward=  8295.98 /  8295.98 /  15224.45, epsilon=  0.813, speed= -0.04, gear= 1, damage= 0.00
Ep:100 step:580(64773), a_t=[s=-1.00, t= 1.000000, b= 0.999998], r_t=[r= 0.04, prog= 0.09, pen=-0.06, r_old= 0.04], Reward=  8296.20 /  8296.20 /  15224.45, epsilon=  0.813, speed=  0.03, gear= 1, damage= 0.00
Ep:100 step:600(64793), a_t=[s=-1.00, t= 1.000000, b= 0.999998], r_t=[r= 0.05, prog= 0.12, pen=-0.07, r_old= 0.05], Reward=  8296.57 /  8296.57 /  15224.45, epsilon=  0.813, speed=  0.04, gear= 1, damage= 0.00
Ep:100 step:620(64813), a_t=[s=-1.00, t= 1.000000, b= 0.999998], r_t=[r= 0.04, prog= 0.10, pen=-0.06, r_old= 0.04], Reward=  8296.41 /  8296.41 /  15224.45, epsilon=  0.813, speed=  0.03, gear= 1, damage= 0.00
Ep:100 step:640(64833), a_t=[s=-1.00, t= 1.000000, b= 0.999998], r_t=[r= 0.03, prog= 0.07, pen=-0.04, r_old= 0.03], Reward=  8296.60 /  8296.60 /  15224.45, epsilon=  0.813, speed=  0.02, gear= 1, damage= 0.00
Ep:100 step:660(64853), a_t=[s=-1.00, t= 1.000000, b= 0.999998], r_t=[r= 0.02, prog= 0.04, pen=-0.02, r_old= 0.02], Reward=  8297.11 /  8297.11 /  15224.45, epsilon=  0.813, speed=  0.01, gear= 1, damage= 0.00
Ep:100 step:680(64873), a_t=[s=-1.00, t= 1.000000, b= 0.999998], r_t=[r= 0.06, prog= 0.14, pen=-0.08, r_old= 0.06], Reward=  8297.36 /  8297.36 /  15224.45, epsilon=  0.813, speed=  0.05, gear= 1, damage= 0.00
Ep:100 step:700(64893), a_t=[s=-1.00, t= 1.000000, b= 0.999998], r_t=[r= 0.04, prog= 0.09, pen=-0.05, r_old= 0.04], Reward=  8297.25 /  8297.25 /  15224.45, epsilon=  0.813, speed=  0.03, gear= 1, damage= 0.00
Ep:100 step:720(64913), a_t=[s=-1.00, t= 1.000000, b= 0.999998], r_t=[r= 0.01, prog= 0.02, pen=-0.01, r_old= 0.01], Reward=  8296.95 /  8296.95 /  15224.45, epsilon=  0.813, speed=  0.01, gear= 1, damage= 0.00
Ep:100 step:740(64933), a_t=[s=-1.00, t= 1.000000, b= 0.999998], r_t=[r=-0.08, prog=-0.16, pen= 0.08, r_old=-0.08], Reward=  8296.98 /  8296.98 /  15224.45, epsilon=  0.813, speed= -0.05, gear= 1, damage= 0.00
Ep:100 step:760(64953), a_t=[s=-1.00, t= 1.000000, b= 0.999998], r_t=[r= 0.03, prog= 0.07, pen=-0.04, r_old= 0.03], Reward=  8296.99 /  8296.99 /  15224.45, epsilon=  0.813, speed=  0.03, gear= 1, damage= 0.00
Ep:100 step:780(64973), a_t=[s=-1.00, t= 1.000000, b= 0.999998], r_t=[r=-0.09, prog=-0.19, pen= 0.09, r_old=-0.09], Reward=  8296.85 /  8296.85 /  15224.45, epsilon=  0.813, speed= -0.06, gear= 1, damage= 0.00
Ep:100 step:800(64993), a_t=[s=-1.00, t= 1.000000, b= 0.999998], r_t=[r= 0.06, prog= 0.13, pen=-0.08, r_old= 0.06], Reward=  8297.14 /  8297.14 /  15224.45, epsilon=  0.813, speed=  0.04, gear= 1, damage= 0.00
Ep:100 step:820(65013), a_t=[s=-1.00, t= 1.000000, b= 0.999998], r_t=[r=-0.02, prog=-0.05, pen= 0.02, r_old=-0.02], Reward=  8297.26 /  8297.26 /  15224.45, epsilon=  0.813, speed= -0.02, gear= 1, damage= 0.00
Ep:100 step:840(65033), a_t=[s=-1.00, t= 1.000000, b= 0.999998], r_t=[r= 0.05, prog= 0.12, pen=-0.07, r_old= 0.05], Reward=  8297.35 /  8297.35 /  15224.45, epsilon=  0.813, speed=  0.04, gear= 1, damage= 0.00
Ep:100 step:860(65053), a_t=[s=-1.00, t= 1.000000, b= 0.999998], r_t=[r= 0.03, prog= 0.07, pen=-0.04, r_old= 0.03], Reward=  8297.41 /  8297.41 /  15224.45, epsilon=  0.813, speed=  0.02, gear= 1, damage= 0.00
Ep:100 step:880(65073), a_t=[s=-1.00, t= 1.000000, b= 0.999998], r_t=[r= 0.04, prog= 0.08, pen=-0.05, r_old= 0.04], Reward=  8297.42 /  8297.42 /  15224.45, epsilon=  0.813, speed=  0.03, gear= 1, damage= 0.00
Ep:100 step:900(65093), a_t=[s=-1.00, t= 1.000000, b= 0.999998], r_t=[r= 0.00, prog= 0.00, pen=-0.00, r_old= 0.00], Reward=  8297.43 /  8297.43 /  15224.45, epsilon=  0.813, speed=  0.00, gear= 1, damage= 0.00
Ep:100 step:920(65113), a_t=[s=-1.00, t= 1.000000, b= 0.999998], r_t=[r=-0.01, prog=-0.02, pen= 0.01, r_old=-0.01], Reward=  8297.46 /  8297.46 /  15224.45, epsilon=  0.813, speed= -0.01, gear= 1, damage= 0.00
Ep:100 step:940(65133), a_t=[s=-1.00, t= 1.000000, b= 0.999998], r_t=[r=-0.07, prog=-0.13, pen= 0.07, r_old=-0.07], Reward=  8297.18 /  8297.18 /  15224.45, epsilon=  0.813, speed= -0.05, gear= 1, damage= 0.00
Ep:100 step:960(65153), a_t=[s=-1.00, t= 1.000000, b= 0.999998], r_t=[r=-0.04, prog=-0.07, pen= 0.04, r_old=-0.04], Reward=  8297.39 /  8297.39 /  15224.45, epsilon=  0.813, speed= -0.02, gear= 1, damage= 0.00
Ep:100 step:980(65173), a_t=[s=-1.00, t= 1.000000, b= 0.999998], r_t=[r=-0.06, prog=-0.13, pen= 0.06, r_old=-0.06], Reward=  8296.94 /  8296.94 /  15224.45, epsilon=  0.813, speed= -0.04, gear= 1, damage= 0.00
Ep:100 step:1000(65193), a_t=[s=-1.00, t= 1.000000, b= 0.999998], r_t=[r=-0.01, prog=-0.02, pen= 0.01, r_old=-0.01], Reward=  8296.70 /  8296.70 /  15224.45, epsilon=  0.813, speed= -0.01, gear= 1, damage= 0.00
Ep:100 step:1020(65213), a_t=[s=-1.00, t= 1.000000, b= 0.999998], r_t=[r=-0.05, prog=-0.10, pen= 0.05, r_old=-0.05], Reward=  8296.40 /  8296.40 /  15224.45, epsilon=  0.813, speed= -0.03, gear= 1, damage= 0.00
Ep:100 step:1040(65233), a_t=[s=-1.00, t= 1.000000, b= 0.999998], r_t=[r= 0.00, prog= 0.01, pen=-0.01, r_old= 0.00], Reward=  8296.39 /  8296.39 /  15224.45, epsilon=  0.813, speed=  0.00, gear= 1, damage= 0.00
Ep:100 step:1060(65253), a_t=[s=-1.00, t= 1.000000, b= 0.999998], r_t=[r= 0.01, prog= 0.02, pen=-0.01, r_old= 0.01], Reward=  8296.38 /  8296.38 /  15224.45, epsilon=  0.813, speed=  0.01, gear= 1, damage= 0.00
Ep:100 step:1080(65273), a_t=[s=-1.00, t= 1.000000, b= 0.999998], r_t=[r=-0.06, prog=-0.11, pen= 0.06, r_old=-0.06], Reward=  8296.26 /  8296.26 /  15224.45, epsilon=  0.813, speed= -0.04, gear= 1, damage= 0.00
Ep:100 step:1100(65293), a_t=[s=-1.00, t= 1.000000, b= 0.999998], r_t=[r= 0.02, prog= 0.05, pen=-0.03, r_old= 0.02], Reward=  8296.04 /  8296.04 /  15224.45, epsilon=  0.813, speed=  0.02, gear= 1, damage= 0.00
Ep:100 step:1120(65313), a_t=[s=-1.00, t= 1.000000, b= 0.999998], r_t=[r=-0.02, prog=-0.03, pen= 0.02, r_old=-0.02], Reward=  8296.19 /  8296.19 /  15224.45, epsilon=  0.813, speed= -0.01, gear= 1, damage= 0.00
Ep:100 step:1140(65333), a_t=[s=-1.00, t= 1.000000, b= 0.999998], r_t=[r=-0.01, prog=-0.02, pen= 0.01, r_old=-0.01], Reward=  8296.32 /  8296.32 /  15224.45, epsilon=  0.813, speed= -0.01, gear= 1, damage= 0.00
Ep:100 step:1160(65353), a_t=[s=-1.00, t= 1.000000, b= 0.999998], r_t=[r= 0.05, prog= 0.13, pen=-0.07, r_old= 0.05], Reward=  8296.42 /  8296.42 /  15224.45, epsilon=  0.813, speed=  0.04, gear= 1, damage= 0.00
Ep:100 step:1180(65373), a_t=[s=-1.00, t= 1.000000, b= 0.999998], r_t=[r= 0.07, prog= 0.17, pen=-0.10, r_old= 0.07], Reward=  8296.71 /  8296.71 /  15224.45, epsilon=  0.813, speed=  0.06, gear= 1, damage= 0.00
Ep:100 step:1200(65393), a_t=[s=-1.00, t= 1.000000, b= 0.999998], r_t=[r= 0.07, prog= 0.17, pen=-0.10, r_old= 0.07], Reward=  8296.61 /  8296.61 /  15224.45, epsilon=  0.813, speed=  0.06, gear= 1, damage= 0.00
Ep:100 step:1220(65413), a_t=[s=-1.00, t= 1.000000, b= 0.999998], r_t=[r=-0.03, prog=-0.05, pen= 0.03, r_old=-0.03], Reward=  8296.75 /  8296.75 /  15224.45, epsilon=  0.813, speed= -0.02, gear= 1, damage= 0.00
Ep:100 step:1240(65433), a_t=[s=-1.00, t= 1.000000, b= 0.999998], r_t=[r=-0.07, prog=-0.13, pen= 0.07, r_old=-0.07], Reward=  8296.96 /  8296.96 /  15224.45, epsilon=  0.813, speed= -0.05, gear= 1, damage= 0.00
Ep:100 step:1260(65453), a_t=[s=-1.00, t= 1.000000, b= 0.999998], r_t=[r= 0.02, prog= 0.06, pen=-0.03, r_old= 0.02], Reward=  8296.95 /  8296.95 /  15224.45, epsilon=  0.813, speed=  0.02, gear= 1, damage= 0.00
Ep:100 step:1280(65473), a_t=[s=-1.00, t= 1.000000, b= 0.999998], r_t=[r= 0.02, prog= 0.04, pen=-0.03, r_old= 0.02], Reward=  8296.98 /  8296.98 /  15224.45, epsilon=  0.813, speed=  0.02, gear= 1, damage= 0.00
Ep:100 step:1300(65493), a_t=[s=-1.00, t= 1.000000, b= 0.999998], r_t=[r=-0.04, prog=-0.08, pen= 0.04, r_old=-0.04], Reward=  8296.81 /  8296.81 /  15224.45, epsilon=  0.813, speed= -0.03, gear= 1, damage= 0.00
Ep:100 step:1320(65513), a_t=[s=-1.00, t= 1.000000, b= 0.999998], r_t=[r=-0.04, prog=-0.08, pen= 0.04, r_old=-0.04], Reward=  8296.57 /  8296.57 /  15224.45, epsilon=  0.813, speed= -0.03, gear= 1, damage= 0.00
Ep:100 step:1340(65533), a_t=[s=-1.00, t= 1.000000, b= 0.999998], r_t=[r= 0.08, prog= 0.18, pen=-0.10, r_old= 0.08], Reward=  8296.68 /  8296.68 /  15224.45, epsilon=  0.813, speed=  0.06, gear= 1, damage= 0.00
Ep:100 step:1360(65553), a_t=[s=-1.00, t= 1.000000, b= 0.999998], r_t=[r=-0.08, prog=-0.17, pen= 0.08, r_old=-0.08], Reward=  8296.57 /  8296.57 /  15224.45, epsilon=  0.813, speed= -0.06, gear= 1, damage= 0.00
Ep:100 step:1380(65573), a_t=[s=-1.00, t= 1.000000, b= 0.999998], r_t=[r= 0.08, prog= 0.18, pen=-0.10, r_old= 0.08], Reward=  8296.53 /  8296.53 /  15224.45, epsilon=  0.813, speed=  0.06, gear= 1, damage= 0.00
Ep:100 step:1400(65593), a_t=[s=-1.00, t= 1.000000, b= 0.999998], r_t=[r=-0.04, prog=-0.08, pen= 0.04, r_old=-0.04], Reward=  8296.56 /  8296.56 /  15224.45, epsilon=  0.813, speed= -0.03, gear= 1, damage= 0.00
Ep:100 step:1420(65613), a_t=[s=-1.00, t= 1.000000, b= 0.999998], r_t=[r= 0.02, prog= 0.05, pen=-0.03, r_old= 0.02], Reward=  8296.38 /  8296.38 /  15224.45, epsilon=  0.813, speed=  0.02, gear= 1, damage= 0.00
Ep:100 step:1440(65633), a_t=[s=-1.00, t= 1.000000, b= 0.999998], r_t=[r=-0.06, prog=-0.13, pen= 0.07, r_old=-0.06], Reward=  8296.58 /  8296.58 /  15224.45, epsilon=  0.813, speed= -0.04, gear= 1, damage= 0.00
Ep:100 step:1460(65653), a_t=[s=-1.00, t= 1.000000, b= 0.999998], r_t=[r=-0.02, prog=-0.03, pen= 0.02, r_old=-0.02], Reward=  8296.60 /  8296.60 /  15224.45, epsilon=  0.813, speed= -0.01, gear= 1, damage= 0.00
Ep:100 step:1480(65673), a_t=[s=-1.00, t= 1.000000, b= 0.999998], r_t=[r=-0.06, prog=-0.13, pen= 0.07, r_old=-0.06], Reward=  8296.33 /  8296.33 /  15224.45, epsilon=  0.813, speed= -0.04, gear= 1, damage= 0.00
Ep:100 step:1500(65693), a_t=[s=-1.00, t= 1.000000, b= 0.999998], r_t=[r=-0.06, prog=-0.13, pen= 0.07, r_old=-0.06], Reward=  8296.09 /  8296.09 /  15224.45, epsilon=  0.813, speed= -0.04, gear= 1, damage= 0.00
Ep:100 step:1520(65713), a_t=[s=-1.00, t= 1.000000, b= 0.999998], r_t=[r= 0.01, prog= 0.01, pen=-0.01, r_old= 0.01], Reward=  8296.21 /  8296.21 /  15224.45, epsilon=  0.813, speed=  0.00, gear= 1, damage= 0.00
Ep:100 step:1540(65733), a_t=[s=-1.00, t= 1.000000, b= 0.999998], r_t=[r=-0.03, prog=-0.07, pen= 0.03, r_old=-0.03], Reward=  8296.14 /  8296.14 /  15224.45, epsilon=  0.813, speed= -0.02, gear= 1, damage= 0.00
Ep:100 step:1560(65753), a_t=[s=-1.00, t= 1.000000, b= 0.999998], r_t=[r= 0.03, prog= 0.07, pen=-0.04, r_old= 0.03], Reward=  8296.15 /  8296.15 /  15224.45, epsilon=  0.813, speed=  0.02, gear= 1, damage= 0.00
Ep:100 step:1580(65773), a_t=[s=-1.00, t= 1.000000, b= 0.999998], r_t=[r= 0.05, prog= 0.11, pen=-0.06, r_old= 0.05], Reward=  8296.14 /  8296.14 /  15224.45, epsilon=  0.813, speed=  0.04, gear= 1, damage= 0.00
Ep:100 step:1600(65793), a_t=[s=-1.00, t= 1.000000, b= 0.999998], r_t=[r=-0.00, prog=-0.00, pen= 0.00, r_old=-0.00], Reward=  8296.17 /  8296.17 /  15224.45, epsilon=  0.813, speed= -0.00, gear= 1, damage= 0.00
Ep:100 step:1620(65813), a_t=[s=-1.00, t= 1.000000, b= 0.999998], r_t=[r=-0.06, prog=-0.11, pen= 0.06, r_old=-0.06], Reward=  8296.30 /  8296.30 /  15224.45, epsilon=  0.813, speed= -0.04, gear= 1, damage= 0.00
Ep:100 step:1640(65833), a_t=[s=-1.00, t= 1.000000, b= 0.999998], r_t=[r= 0.00, prog= 0.00, pen=-0.00, r_old= 0.00], Reward=  8295.93 /  8295.93 /  15224.45, epsilon=  0.813, speed=  0.00, gear= 1, damage= 0.00
Ep:100 step:1660(65853), a_t=[s=-1.00, t= 1.000000, b= 0.999998], r_t=[r= 0.02, prog= 0.04, pen=-0.02, r_old= 0.02], Reward=  8296.08 /  8296.08 /  15224.45, epsilon=  0.813, speed=  0.01, gear= 1, damage= 0.00
Ep:100 step:1680(65873), a_t=[s=-1.00, t= 1.000000, b= 0.999998], r_t=[r= 0.01, prog= 0.01, pen=-0.01, r_old= 0.01], Reward=  8295.91 /  8295.91 /  15224.45, epsilon=  0.813, speed=  0.00, gear= 1, damage= 0.00
Ep:100 step:1700(65893), a_t=[s=-1.00, t= 1.000000, b= 0.999998], r_t=[r= 0.03, prog= 0.07, pen=-0.04, r_old= 0.03], Reward=  8296.13 /  8296.13 /  15224.45, epsilon=  0.813, speed=  0.02, gear= 1, damage= 0.00
Ep:100 step:1720(65913), a_t=[s=-1.00, t= 1.000000, b= 0.999998], r_t=[r= 0.03, prog= 0.07, pen=-0.04, r_old= 0.03], Reward=  8296.43 /  8296.43 /  15224.45, epsilon=  0.813, speed=  0.02, gear= 1, damage= 0.00
Ep:100 step:1740(65933), a_t=[s=-1.00, t= 1.000000, b= 0.999998], r_t=[r= 0.02, prog= 0.04, pen=-0.02, r_old= 0.02], Reward=  8296.49 /  8296.49 /  15224.45, epsilon=  0.813, speed=  0.01, gear= 1, damage= 0.00
Ep:100 step:1760(65953), a_t=[s=-1.00, t= 1.000000, b= 0.999998], r_t=[r=-0.01, prog=-0.02, pen= 0.01, r_old=-0.01], Reward=  8296.74 /  8296.74 /  15224.45, epsilon=  0.813, speed= -0.01, gear= 1, damage= 0.00
Ep:100 step:1780(65973), a_t=[s=-1.00, t= 1.000000, b= 0.999998], r_t=[r= 0.01, prog= 0.02, pen=-0.01, r_old= 0.01], Reward=  8296.72 /  8296.72 /  15224.45, epsilon=  0.813, speed=  0.01, gear= 1, damage= 0.00
Ep:100 step:1800(65993), a_t=[s=-1.00, t= 1.000000, b= 0.999998], r_t=[r=-0.03, prog=-0.06, pen= 0.03, r_old=-0.03], Reward=  8296.74 /  8296.74 /  15224.45, epsilon=  0.813, speed= -0.02, gear= 1, damage= 0.00
Ep:100 step:1820(66013), a_t=[s=-1.00, t= 1.000000, b= 0.999998], r_t=[r= 0.08, prog= 0.17, pen=-0.10, r_old= 0.08], Reward=  8296.91 /  8296.91 /  15224.45, epsilon=  0.813, speed=  0.06, gear= 1, damage= 0.00
Ep:100 step:1840(66033), a_t=[s=-1.00, t= 1.000000, b= 0.999998], r_t=[r=-0.02, prog=-0.03, pen= 0.02, r_old=-0.02], Reward=  8296.80 /  8296.80 /  15224.45, epsilon=  0.813, speed= -0.01, gear= 1, damage= 0.00
Ep:100 step:1860(66053), a_t=[s=-1.00, t= 1.000000, b= 0.999998], r_t=[r= 0.06, prog= 0.15, pen=-0.08, r_old= 0.06], Reward=  8296.68 /  8296.68 /  15224.45, epsilon=  0.813, speed=  0.05, gear= 1, damage= 0.00
Ep:100 step:1880(66073), a_t=[s=-1.00, t= 1.000000, b= 0.999998], r_t=[r=-0.02, prog=-0.05, pen= 0.02, r_old=-0.02], Reward=  8296.72 /  8296.72 /  15224.45, epsilon=  0.813, speed= -0.02, gear= 1, damage= 0.00
Ep:100 step:1900(66093), a_t=[s=-1.00, t= 1.000000, b= 0.999998], r_t=[r=-0.00, prog=-0.00, pen= 0.00, r_old=-0.00], Reward=  8296.77 /  8296.77 /  15224.45, epsilon=  0.813, speed= -0.00, gear= 1, damage= 0.00
Ep:100 step:1920(66113), a_t=[s=-1.00, t= 1.000000, b= 0.999998], r_t=[r= 0.02, prog= 0.04, pen=-0.02, r_old= 0.02], Reward=  8297.00 /  8297.00 /  15224.45, epsilon=  0.813, speed=  0.01, gear= 1, damage= 0.00
Ep:100 step:1940(66133), a_t=[s=-1.00, t= 1.000000, b= 0.999998], r_t=[r=-0.10, prog=-0.20, pen= 0.10, r_old=-0.10], Reward=  8296.80 /  8296.80 /  15224.45, epsilon=  0.813, speed= -0.07, gear= 1, damage= 0.00
Ep:100 step:1960(66153), a_t=[s=-1.00, t= 1.000000, b= 0.999998], r_t=[r=-0.05, prog=-0.11, pen= 0.06, r_old=-0.05], Reward=  8296.82 /  8296.82 /  15224.45, epsilon=  0.813, speed= -0.04, gear= 1, damage= 0.00
Ep:100 step:1980(66173), a_t=[s=-1.00, t= 1.000000, b= 0.999998], r_t=[r= 0.03, prog= 0.06, pen=-0.03, r_old= 0.03], Reward=  8296.84 /  8296.84 /  15224.45, epsilon=  0.813, speed=  0.02, gear= 1, damage= 0.00
=============================================================
 starting episode: 101/2000
Waiting for server on 3109............
Count Down : 5
Client connected on 3109..............
Ep:101 step:0(66193), a_t=[s= 0.83, t= 0.541879, b= 0.000000], r_t=[r= 0.29, prog= 0.29, pen=-0.00, r_old= 0.29], Reward=  0.29 /  0.29 /  15224.45, epsilon=  0.813, speed=  0.10, gear= 1, damage= 0.00
Ep:101 step:20(66213), a_t=[s= 0.15, t= 0.602952, b= 0.000000], r_t=[r= 169.04, prog= 171.70, pen=-2.66, r_old= 169.04], Reward=  1422.67 /  1422.67 /  15224.45, epsilon=  0.813, speed=  57.24, gear= 1, damage= 0.00
