=============================================================
 starting episode: 200/2000
Waiting for server on 3109............
Count Down : 5
Client connected on 3109..............
Ep:200 step:0(96154), a_t=[s= 1.00, t= 1.000000, b= 0.000000], r_t=[r= 0.59, prog= 0.59, pen=-0.00, r_old= 0.59], Reward=  0.59 /  0.59 /  24766.61, epsilon=  0.739, speed=  0.20, gear= 1, damage= 0.00
Ep:200 step:820(96974), a_t=[s=-1.00, t= 1.000000, b= 0.645003], r_t=[r= 0.35, prog= 0.39, pen=-0.04, r_old= 0.35], Reward=  9301.67 /  9301.67 /  24766.61, epsilon=  0.739, speed=  0.13, gear= 1, damage= 0.00
Ep:200 step:840(96994), a_t=[s=-1.00, t= 1.000000, b= 0.645284], r_t=[r= 0.17, prog= 0.19, pen=-0.02, r_old= 0.17], Reward=  9303.54 /  9303.54 /  24766.61, epsilon=  0.739, speed=  0.06, gear= 1, damage= 0.00
Ep:200 step:860(97014), a_t=[s=-1.00, t= 1.000000, b= 0.599413], r_t=[r= 0.45, prog= 0.50, pen=-0.05, r_old= 0.45], Reward=  9305.58 /  9305.58 /  24766.61, epsilon=  0.739, speed=  0.17, gear= 1, damage= 0.00
Ep:200 step:880(97034), a_t=[s=-1.00, t= 1.000000, b= 0.613874], r_t=[r= 0.31, prog= 0.35, pen=-0.04, r_old= 0.31], Reward=  9306.77 /  9306.77 /  24766.61, epsilon=  0.739, speed=  0.12, gear= 1, damage= 0.00
Ep:200 step:900(97054), a_t=[s=-1.00, t= 1.000000, b= 0.607575], r_t=[r=-0.10, prog=-0.10, pen=-0.00, r_old=-0.10], Reward=  9308.46 /  9308.46 /  24766.61, epsilon=  0.739, speed= -0.03, gear= 1, damage= 0.00
Ep:200 step:920(97074), a_t=[s=-1.00, t= 1.000000, b= 0.639867], r_t=[r= 0.21, prog= 0.23, pen=-0.03, r_old= 0.21], Reward=  9309.95 /  9309.95 /  24766.61, epsilon=  0.739, speed=  0.08, gear= 1, damage= 0.00
Ep:200 step:940(97094), a_t=[s=-1.00, t= 1.000000, b= 0.608553], r_t=[r= 0.38, prog= 0.43, pen=-0.05, r_old= 0.38], Reward=  9312.81 /  9312.81 /  24766.61, epsilon=  0.739, speed=  0.15, gear= 1, damage= 0.00
Ep:200 step:960(97114), a_t=[s=-1.00, t= 1.000000, b= 0.631150], r_t=[r= 0.16, prog= 0.18, pen=-0.02, r_old= 0.16], Reward=  9315.99 /  9315.99 /  24766.61, epsilon=  0.739, speed=  0.06, gear= 1, damage= 0.00
Ep:200 step:980(97134), a_t=[s=-1.00, t= 1.000000, b= 0.632887], r_t=[r= 0.24, prog= 0.27, pen=-0.03, r_old= 0.24], Reward=  9315.57 /  9315.57 /  24766.61, epsilon=  0.739, speed=  0.09, gear= 1, damage= 0.00
Ep:200 step:1000(97154), a_t=[s=-1.00, t= 1.000000, b= 0.589947], r_t=[r=-0.26, prog=-0.25, pen=-0.00, r_old=-0.26], Reward=  9318.10 /  9318.10 /  24766.61, epsilon=  0.739, speed= -0.09, gear= 1, damage= 0.00
Ep:200 step:1020(97174), a_t=[s=-1.00, t= 1.000000, b= 0.633659], r_t=[r= 0.29, prog= 0.33, pen=-0.04, r_old= 0.29], Reward=  9320.29 /  9320.29 /  24766.61, epsilon=  0.739, speed=  0.11, gear= 1, damage= 0.00
Ep:200 step:1040(97194), a_t=[s=-1.00, t= 1.000000, b= 0.628862], r_t=[r=-0.22, prog=-0.22, pen=-0.00, r_old=-0.22], Reward=  9322.74 /  9322.74 /  24766.61, epsilon=  0.739, speed= -0.08, gear= 1, damage= 0.00
Ep:200 step:1060(97214), a_t=[s=-1.00, t= 1.000000, b= 0.622655], r_t=[r= 0.22, prog= 0.24, pen=-0.03, r_old= 0.22], Reward=  9324.67 /  9324.67 /  24766.61, epsilon=  0.739, speed=  0.08, gear= 1, damage= 0.00
Ep:200 step:1080(97234), a_t=[s=-1.00, t= 1.000000, b= 0.596220], r_t=[r= 0.04, prog= 0.05, pen=-0.01, r_old= 0.04], Reward=  9328.20 /  9328.20 /  24766.61, epsilon=  0.739, speed=  0.02, gear= 1, damage= 0.00
Ep:200 step:1100(97254), a_t=[s=-1.00, t= 1.000000, b= 0.625669], r_t=[r= 0.18, prog= 0.20, pen=-0.02, r_old= 0.18], Reward=  9330.22 /  9330.22 /  24766.61, epsilon=  0.739, speed=  0.07, gear= 1, damage= 0.00
Ep:200 step:1120(97274), a_t=[s=-1.00, t= 1.000000, b= 0.609692], r_t=[r= 0.03, prog= 0.03, pen=-0.00, r_old= 0.03], Reward=  9333.01 /  9333.01 /  24766.61, epsilon=  0.739, speed=  0.01, gear= 1, damage= 0.00
Ep:200 step:1140(97294), a_t=[s=-1.00, t= 1.000000, b= 0.576880], r_t=[r=-0.13, prog=-0.13, pen=-0.00, r_old=-0.13], Reward=  9335.24 /  9335.24 /  24766.61, epsilon=  0.739, speed= -0.04, gear= 1, damage= 0.00
Ep:200 step:1160(97314), a_t=[s=-1.00, t= 1.000000, b= 0.571630], r_t=[r= 0.15, prog= 0.17, pen=-0.02, r_old= 0.15], Reward=  9339.85 /  9339.85 /  24766.61, epsilon=  0.739, speed=  0.06, gear= 1, damage= 0.00
Ep:200 step:1180(97334), a_t=[s=-1.00, t= 1.000000, b= 0.584249], r_t=[r= 0.72, prog= 0.82, pen=-0.10, r_old= 0.72], Reward=  9343.19 /  9343.19 /  24766.61, epsilon=  0.739, speed=  0.28, gear= 1, damage= 0.00
Ep:200 step:1200(97354), a_t=[s=-1.00, t= 1.000000, b= 0.584906], r_t=[r= 0.03, prog= 0.03, pen=-0.00, r_old= 0.03], Reward=  9345.61 /  9345.61 /  24766.61, epsilon=  0.739, speed=  0.01, gear= 1, damage= 0.00
Ep:200 step:1220(97374), a_t=[s=-1.00, t= 1.000000, b= 0.594894], r_t=[r= 0.29, prog= 0.33, pen=-0.04, r_old= 0.29], Reward=  9349.10 /  9349.10 /  24766.61, epsilon=  0.739, speed=  0.11, gear= 1, damage= 0.00
Ep:200 step:1240(97394), a_t=[s=-1.00, t= 1.000000, b= 0.559852], r_t=[r= 0.14, prog= 0.16, pen=-0.02, r_old= 0.14], Reward=  9351.26 /  9351.26 /  24766.61, epsilon=  0.739, speed=  0.06, gear= 1, damage= 0.00
Ep:200 step:1260(97414), a_t=[s=-1.00, t= 1.000000, b= 0.612532], r_t=[r=-0.02, prog=-0.02, pen=-0.00, r_old=-0.02], Reward=  9352.58 /  9352.58 /  24766.61, epsilon=  0.739, speed= -0.01, gear= 1, damage= 0.00
Ep:200 step:1280(97434), a_t=[s=-1.00, t= 1.000000, b= 0.670390], r_t=[r= 0.40, prog= 0.45, pen=-0.05, r_old= 0.40], Reward=  9355.42 /  9355.42 /  24766.61, epsilon=  0.739, speed=  0.15, gear= 1, damage= 0.00
Ep:200 step:1300(97454), a_t=[s=-1.00, t= 1.000000, b= 0.716435], r_t=[r= 0.06, prog= 0.07, pen=-0.01, r_old= 0.06], Reward=  9357.25 /  9357.25 /  24766.61, epsilon=  0.739, speed=  0.02, gear= 1, damage= 0.00
Ep:200 step:1320(97474), a_t=[s=-1.00, t= 1.000000, b= 0.711587], r_t=[r= 0.36, prog= 0.41, pen=-0.05, r_old= 0.36], Reward=  9360.99 /  9360.99 /  24766.61, epsilon=  0.739, speed=  0.14, gear= 1, damage= 0.00
Ep:200 step:1340(97494), a_t=[s=-1.00, t= 1.000000, b= 0.724018], r_t=[r=-0.06, prog=-0.06, pen= 0.00, r_old=-0.06], Reward=  9360.98 /  9360.98 /  24766.61, epsilon=  0.739, speed= -0.02, gear= 1, damage= 0.00
Ep:200 step:1360(97514), a_t=[s=-1.00, t= 1.000000, b= 0.740338], r_t=[r= 0.01, prog= 0.01, pen=-0.00, r_old= 0.01], Reward=  9362.41 /  9362.41 /  24766.61, epsilon=  0.739, speed=  0.00, gear= 1, damage= 0.00
Ep:200 step:1380(97534), a_t=[s=-1.00, t= 1.000000, b= 0.719126], r_t=[r= 0.09, prog= 0.10, pen=-0.01, r_old= 0.09], Reward=  9363.40 /  9363.40 /  24766.61, epsilon=  0.739, speed=  0.03, gear= 1, damage= 0.00
Ep:200 step:1400(97554), a_t=[s=-1.00, t= 1.000000, b= 0.721829], r_t=[r= 0.17, prog= 0.19, pen=-0.02, r_old= 0.17], Reward=  9365.82 /  9365.82 /  24766.61, epsilon=  0.739, speed=  0.06, gear= 1, damage= 0.00
Ep:200 step:1420(97574), a_t=[s=-1.00, t= 1.000000, b= 0.737880], r_t=[r=-0.26, prog=-0.26, pen= 0.00, r_old=-0.26], Reward=  9367.47 /  9367.47 /  24766.61, epsilon=  0.739, speed= -0.09, gear= 1, damage= 0.00
Ep:200 step:1440(97594), a_t=[s=-1.00, t= 1.000000, b= 0.711848], r_t=[r= 0.14, prog= 0.16, pen=-0.02, r_old= 0.14], Reward=  9370.13 /  9370.13 /  24766.61, epsilon=  0.739, speed=  0.05, gear= 1, damage= 0.00
Ep:200 step:1460(97614), a_t=[s=-1.00, t= 1.000000, b= 0.714567], r_t=[r= 0.08, prog= 0.09, pen=-0.01, r_old= 0.08], Reward=  9371.32 /  9371.32 /  24766.61, epsilon=  0.739, speed=  0.03, gear= 1, damage= 0.00
Ep:200 step:1480(97634), a_t=[s=-1.00, t= 1.000000, b= 0.736768], r_t=[r= 0.28, prog= 0.32, pen=-0.04, r_old= 0.28], Reward=  9373.18 /  9373.18 /  24766.61, epsilon=  0.739, speed=  0.11, gear= 1, damage= 0.00
Ep:200 step:1500(97654), a_t=[s=-1.00, t= 1.000000, b= 0.739576], r_t=[r= 0.03, prog= 0.03, pen=-0.00, r_old= 0.03], Reward=  9373.98 /  9373.98 /  24766.61, epsilon=  0.739, speed=  0.01, gear= 1, damage= 0.00
Ep:200 step:1520(97674), a_t=[s=-1.00, t= 1.000000, b= 0.764058], r_t=[r= 0.08, prog= 0.09, pen=-0.01, r_old= 0.08], Reward=  9374.84 /  9374.84 /  24766.61, epsilon=  0.739, speed=  0.03, gear= 1, damage= 0.00
Ep:200 step:1540(97694), a_t=[s=-1.00, t= 1.000000, b= 0.794747], r_t=[r=-0.17, prog=-0.17, pen= 0.00, r_old=-0.17], Reward=  9375.90 /  9375.90 /  24766.61, epsilon=  0.739, speed= -0.06, gear= 1, damage= 0.00
Ep:200 step:1560(97714), a_t=[s=-1.00, t= 1.000000, b= 0.795678], r_t=[r=-0.11, prog=-0.11, pen= 0.00, r_old=-0.11], Reward=  9377.96 /  9377.96 /  24766.61, epsilon=  0.739, speed= -0.04, gear= 1, damage= 0.00
Ep:200 step:1580(97734), a_t=[s=-1.00, t= 1.000000, b= 0.811566], r_t=[r= 0.24, prog= 0.27, pen=-0.03, r_old= 0.24], Reward=  9378.76 /  9378.76 /  24766.61, epsilon=  0.739, speed=  0.09, gear= 1, damage= 0.00
Ep:200 step:1600(97754), a_t=[s=-1.00, t= 1.000000, b= 0.805935], r_t=[r= 0.06, prog= 0.07, pen=-0.01, r_old= 0.06], Reward=  9379.45 /  9379.45 /  24766.61, epsilon=  0.739, speed=  0.02, gear= 1, damage= 0.00
Ep:200 step:1620(97774), a_t=[s=-1.00, t= 1.000000, b= 0.813398], r_t=[r= 0.01, prog= 0.01, pen=-0.00, r_old= 0.01], Reward=  9379.20 /  9379.20 /  24766.61, epsilon=  0.739, speed=  0.00, gear= 1, damage= 0.00
Ep:200 step:1640(97794), a_t=[s=-1.00, t= 1.000000, b= 0.816999], r_t=[r= 0.02, prog= 0.02, pen=-0.00, r_old= 0.02], Reward=  9380.70 /  9380.70 /  24766.61, epsilon=  0.739, speed=  0.01, gear= 1, damage= 0.00
Ep:200 step:1660(97814), a_t=[s=-1.00, t= 1.000000, b= 0.815220], r_t=[r= 0.16, prog= 0.19, pen=-0.02, r_old= 0.16], Reward=  9381.61 /  9381.61 /  24766.61, epsilon=  0.739, speed=  0.06, gear= 1, damage= 0.00
Ep:200 step:1680(97834), a_t=[s=-1.00, t= 1.000000, b= 0.812508], r_t=[r= 0.46, prog= 0.52, pen=-0.06, r_old= 0.46], Reward=  9383.14 /  9383.14 /  24766.61, epsilon=  0.739, speed=  0.18, gear= 1, damage= 0.00
Ep:200 step:1700(97854), a_t=[s=-1.00, t= 1.000000, b= 0.816103], r_t=[r= 0.29, prog= 0.33, pen=-0.04, r_old= 0.29], Reward=  9385.01 /  9385.01 /  24766.61, epsilon=  0.739, speed=  0.11, gear= 1, damage= 0.00
Ep:200 step:1720(97874), a_t=[s=-1.00, t= 1.000000, b= 0.820341], r_t=[r=-0.08, prog=-0.08, pen= 0.00, r_old=-0.08], Reward=  9386.31 /  9386.31 /  24766.61, epsilon=  0.739, speed= -0.03, gear= 1, damage= 0.00
Ep:200 step:1740(97894), a_t=[s=-1.00, t= 1.000000, b= 0.820724], r_t=[r=-0.23, prog=-0.23, pen= 0.00, r_old=-0.23], Reward=  9387.85 /  9387.85 /  24766.61, epsilon=  0.739, speed= -0.08, gear= 1, damage= 0.00
Ep:200 step:1760(97914), a_t=[s=-1.00, t= 1.000000, b= 0.800361], r_t=[r=-0.06, prog=-0.06, pen= 0.00, r_old=-0.06], Reward=  9389.03 /  9389.03 /  24766.61, epsilon=  0.739, speed= -0.02, gear= 1, damage= 0.00
Ep:200 step:1780(97934), a_t=[s=-1.00, t= 1.000000, b= 0.800491], r_t=[r=-0.04, prog=-0.04, pen= 0.00, r_old=-0.04], Reward=  9389.98 /  9389.98 /  24766.61, epsilon=  0.739, speed= -0.01, gear= 1, damage= 0.00
Ep:200 step:1800(97954), a_t=[s=-1.00, t= 1.000000, b= 0.817492], r_t=[r=-0.18, prog=-0.18, pen= 0.00, r_old=-0.18], Reward=  9389.79 /  9389.79 /  24766.61, epsilon=  0.739, speed= -0.06, gear= 1, damage= 0.00
Ep:200 step:1820(97974), a_t=[s=-1.00, t= 1.000000, b= 0.810624], r_t=[r= 0.21, prog= 0.24, pen=-0.03, r_old= 0.21], Reward=  9391.18 /  9391.18 /  24766.61, epsilon=  0.739, speed=  0.08, gear= 1, damage= 0.00
Ep:200 step:1840(97994), a_t=[s=-1.00, t= 1.000000, b= 0.808996], r_t=[r=-0.14, prog=-0.14, pen= 0.00, r_old=-0.14], Reward=  9392.91 /  9392.91 /  24766.61, epsilon=  0.739, speed= -0.05, gear= 1, damage= 0.00
Ep:200 step:1860(98014), a_t=[s=-1.00, t= 1.000000, b= 0.813152], r_t=[r= 0.19, prog= 0.22, pen=-0.03, r_old= 0.19], Reward=  9394.37 /  9394.37 /  24766.61, epsilon=  0.739, speed=  0.07, gear= 1, damage= 0.00
Ep:200 step:1880(98034), a_t=[s=-1.00, t= 1.000000, b= 0.801072], r_t=[r= 0.11, prog= 0.12, pen=-0.01, r_old= 0.11], Reward=  9396.02 /  9396.02 /  24766.61, epsilon=  0.739, speed=  0.04, gear= 1, damage= 0.00
Ep:200 step:1900(98054), a_t=[s=-1.00, t= 1.000000, b= 0.804924], r_t=[r=-0.09, prog=-0.09, pen= 0.00, r_old=-0.09], Reward=  9396.78 /  9396.78 /  24766.61, epsilon=  0.739, speed= -0.03, gear= 1, damage= 0.00
Ep:200 step:1920(98074), a_t=[s=-1.00, t= 1.000000, b= 0.799657], r_t=[r= 0.05, prog= 0.05, pen=-0.01, r_old= 0.05], Reward=  9398.10 /  9398.10 /  24766.61, epsilon=  0.739, speed=  0.02, gear= 1, damage= 0.00
Ep:200 step:1940(98094), a_t=[s=-1.00, t= 1.000000, b= 0.792092], r_t=[r= 0.11, prog= 0.12, pen=-0.01, r_old= 0.11], Reward=  9398.35 /  9398.35 /  24766.61, epsilon=  0.739, speed=  0.04, gear= 1, damage= 0.00
Ep:200 step:1960(98114), a_t=[s=-1.00, t= 1.000000, b= 0.791973], r_t=[r=-0.01, prog=-0.01, pen= 0.00, r_old=-0.01], Reward=  9399.65 /  9399.65 /  24766.61, epsilon=  0.739, speed= -0.00, gear= 1, damage= 0.00
Ep:200 step:1980(98134), a_t=[s=-1.00, t= 1.000000, b= 0.766947], r_t=[r= 0.11, prog= 0.13, pen=-0.02, r_old= 0.11], Reward=  9400.95 /  9400.95 /  24766.61, epsilon=  0.739, speed=  0.04, gear= 1, damage= 0.00
=============================================================
 starting episode: 201/2000
Waiting for server on 3109............
Count Down : 5
Client connected on 3109..............
Ep:201 step:0(98154), a_t=[s= 1.00, t= 0.634072, b= 0.000000], r_t=[r= 0.96, prog= 0.96, pen=-0.00, r_old= 0.96], Reward=  0.96 /  0.96 /  24766.61, epsilon=  0.739, speed=  0.32, gear= 1, damage= 0.00
Ep:201 step:20(98174), a_t=[s=-1.00, t= 0.645351, b= 0.000000], r_t=[r= 156.55, prog= 184.18, pen=-27.63, r_old= 156.55], Reward=  1380.46 /  1380.46 /  24766.61, epsilon=  0.739, speed=  61.49, gear= 1, damage= 0.00
