=============================================================
 starting episode: 0/2000
Client connected on 3107..............
Ep:0 step:0(1), a_t=[s=-0.10, t= 0.491327, b= 0.000000], r_t=[r= 0.38, prog= 0.38, pen=-0.00, r_old= 0.38], Reward=  0.38 /  0.38 / -inf, epsilon=  1.000, speed=  0.13, gear= 0, damage= 0.00
Ep:0 step:480(481), a_t=[s= 0.39, t= 0.542730, b= 0.000000], r_t=[r=-0.12, prog= 0.16, pen=-0.29, r_old=-0.12], Reward=  1868.82 /  1871.12 / -inf, epsilon=  0.998, speed=  0.12, gear= 1, damage= 716.00
Ep:0 step:500(501), a_t=[s=-1.00, t= 0.347507, b= 0.000000], r_t=[r=-0.16, prog= 0.29, pen=-0.45, r_old=-0.16], Reward=  1866.03 /  1868.34 / -inf, epsilon=  0.998, speed=  0.19, gear= 1, damage= 716.00
Ep:0 step:520(521), a_t=[s=-0.70, t= 0.517456, b= 0.000000], r_t=[r=-0.08, prog= 0.26, pen=-0.34, r_old=-0.08], Reward=  1862.99 /  1865.30 / -inf, epsilon=  0.998, speed=  0.15, gear= 1, damage= 716.00
Ep:0 step:540(541), a_t=[s= 1.00, t= 0.430198, b= 0.000000], r_t=[r=-0.11, prog= 0.39, pen=-0.49, r_old=-0.11], Reward=  1861.14 /  1863.44 / -inf, epsilon=  0.998, speed=  0.22, gear= 1, damage= 716.00
Ep:0 step:560(561), a_t=[s= 0.12, t= 0.403782, b= 0.000000], r_t=[r=-0.09, prog= 0.46, pen=-0.55, r_old=-0.09], Reward=  1859.57 /  1861.87 / -inf, epsilon=  0.998, speed=  0.24, gear= 1, damage= 716.00
Ep:0 step:580(581), a_t=[s=-0.81, t= 0.433169, b= 0.000000], r_t=[r=-0.15, prog= 1.24, pen=-1.39, r_old=-0.15], Reward=  1858.16 /  1860.47 / -inf, epsilon=  0.998, speed=  0.62, gear= 1, damage= 716.00
Ep:0 step:600(601), a_t=[s= 0.66, t= 0.423357, b= 0.000000], r_t=[r=-0.01, prog= 0.13, pen=-0.14, r_old=-0.01], Reward=  1857.48 /  1859.78 / -inf, epsilon=  0.998, speed=  0.06, gear= 1, damage= 716.00
Ep:0 step:620(621), a_t=[s=-0.65, t= 0.607942, b= 0.000000], r_t=[r=-0.00, prog= 0.51, pen=-0.51, r_old=-0.00], Reward=  1857.18 /  1859.48 / -inf, epsilon=  0.998, speed=  0.24, gear= 1, damage= 716.00
Ep:0 step:640(641), a_t=[s= 0.03, t= 0.385193, b= 0.000000], r_t=[r= 0.04, prog= 0.88, pen=-0.84, r_old= 0.04], Reward=  1857.53 /  1859.83 / -inf, epsilon=  0.998, speed=  0.39, gear= 1, damage= 716.00
Ep:0 step:660(661), a_t=[s=-1.00, t= 0.508912, b= 0.000000], r_t=[r= 0.04, prog= 0.52, pen=-0.48, r_old= 0.04], Reward=  1858.56 /  1860.86 / -inf, epsilon=  0.998, speed=  0.22, gear= 1, damage= 716.00
Ep:0 step:680(681), a_t=[s=-1.00, t= 0.442305, b= 0.000000], r_t=[r= 0.10, prog= 0.80, pen=-0.69, r_old= 0.10], Reward=  1860.76 /  1863.06 / -inf, epsilon=  0.998, speed=  0.33, gear= 1, damage= 716.00
Ep:0 step:700(701), a_t=[s=-0.11, t= 0.561873, b= 0.000000], r_t=[r= 0.15, prog= 0.92, pen=-0.77, r_old= 0.15], Reward=  1863.75 /  1866.05 / -inf, epsilon=  0.998, speed=  0.37, gear= 1, damage= 716.00
Ep:0 step:720(721), a_t=[s=-0.64, t= 0.312907, b= 0.000000], r_t=[r= 0.32, prog= 1.51, pen=-1.19, r_old= 0.32], Reward=  1869.90 /  1872.21 / -inf, epsilon=  0.998, speed=  0.58, gear= 1, damage= 716.00
Ep:0 step:740(741), a_t=[s=-1.00, t= 0.229479, b= 0.000000], r_t=[r= 0.84, prog= 3.36, pen=-2.52, r_old= 0.84], Reward=  1879.42 /  1881.73 / -inf, epsilon=  0.998, speed=  1.26, gear= 1, damage= 716.00
Ep:0 step:760(761), a_t=[s=-1.00, t= 0.359371, b= 0.000000], r_t=[r= 0.38, prog= 1.43, pen=-1.04, r_old= 0.38], Reward=  1888.82 /  1891.13 / -inf, epsilon=  0.997, speed=  0.53, gear= 1, damage= 716.00
Ep:0 step:780(781), a_t=[s=-0.93, t= 0.536618, b= 0.000000], r_t=[r= 1.57, prog= 4.53, pen=-2.96, r_old= 1.57], Reward=  1927.51 /  1929.82 / -inf, epsilon=  0.997, speed=  1.58, gear= 1, damage= 716.00
Ep:0 step:800(801), a_t=[s=-0.79, t= 0.318619, b= 0.000000], r_t=[r= 3.04, prog= 8.37, pen=-5.34, r_old= 3.04], Reward=  1960.12 /  1962.43 / -inf, epsilon=  0.997, speed=  2.88, gear= 1, damage= 716.00
Ep:0 step:820(821), a_t=[s=-0.39, t= 0.502184, b= 0.000000], r_t=[r= 8.41, prog= 21.06, pen=-12.65, r_old= 8.41], Reward=  2034.57 /  2036.87 / -inf, epsilon=  0.997, speed=  7.11, gear= 1, damage= 716.00
Ep:0 step:840(841), a_t=[s=-1.00, t= 0.464970, b= 0.000000], r_t=[r= 3.13, prog= 8.71, pen=-5.58, r_old= 3.13], Reward=  2106.73 /  2102.20 / -inf, epsilon=  0.997, speed=  3.01, gear= 1, damage= 745.00
Ep:0 step:860(861), a_t=[s=-1.00, t= 0.600164, b= 0.000000], r_t=[r= 3.39, prog= 9.22, pen=-5.83, r_old= 3.39], Reward=  2152.59 /  2148.06 / -inf, epsilon=  0.997, speed=  3.16, gear= 1, damage= 745.00
Ep:0 step:880(881), a_t=[s=-0.48, t= 0.488773, b= 0.000000], r_t=[r= 2.94, prog= 7.69, pen=-4.75, r_old= 2.94], Reward=  2231.99 /  2227.46 / -inf, epsilon=  0.997, speed=  2.62, gear= 1, damage= 745.00
Ep:0 step:900(901), a_t=[s= 0.19, t= 0.525134, b= 0.000000], r_t=[r= 3.85, prog= 9.91, pen=-6.06, r_old= 3.85], Reward=  2300.19 /  2295.66 / -inf, epsilon=  0.997, speed=  3.36, gear= 1, damage= 745.00
Ep:0 step:920(921), a_t=[s= 0.15, t= 0.479005, b= 0.000000], r_t=[r= 0.28, prog= 1.01, pen=-0.72, r_old= 0.28], Reward=  2267.18 /  2248.10 / -inf, epsilon=  0.997, speed=  0.37, gear= 1, damage= 886.00
Ep:0 step:940(941), a_t=[s= 1.00, t= 0.484315, b= 0.000000], r_t=[r= 3.01, prog= 9.00, pen=-5.99, r_old= 3.01], Reward=  2301.27 /  2282.20 / -inf, epsilon=  0.997, speed=  3.16, gear= 1, damage= 886.00
Ep:0 step:960(961), a_t=[s=-1.00, t= 0.567661, b= 0.000000], r_t=[r= 1.01, prog= 2.85, pen=-1.84, r_old= 1.01], Reward=  2343.52 /  2324.45 / -inf, epsilon=  0.997, speed=  0.99, gear= 1, damage= 886.00
Ep:0 step:980(981), a_t=[s=-0.05, t= 0.395709, b= 0.000000], r_t=[r= 3.46, prog= 9.02, pen=-5.56, r_old= 3.46], Reward=  2415.25 /  2396.18 / -inf, epsilon=  0.997, speed=  3.07, gear= 1, damage= 886.00
Ep:0 step:1000(1001), a_t=[s=-0.13, t= 0.533472, b= 0.000000], r_t=[r= 2.26, prog= 7.20, pen=-4.94, r_old= 2.26], Reward=  2537.93 /  2500.86 / -inf, epsilon=  0.997, speed=  2.56, gear= 1, damage= 900.00
Ep:0 step:1020(1021), a_t=[s=-1.00, t= 0.338913, b= 0.011990], r_t=[r= 1.80, prog= 5.12, pen=-3.32, r_old= 1.80], Reward=  2599.23 /  2562.15 / -inf, epsilon=  0.997, speed=  1.77, gear= 1, damage= 900.00
Ep:0 step:1040(1041), a_t=[s=-0.53, t= 0.424496, b= 0.000000], r_t=[r= 1.60, prog= 4.44, pen=-2.83, r_old= 1.60], Reward=  2633.66 /  2596.58 / -inf, epsilon=  0.997, speed=  1.53, gear= 1, damage= 900.00
Ep:0 step:1060(1061), a_t=[s= 0.01, t= 0.713871, b= 0.000000], r_t=[r= 2.19, prog= 5.87, pen=-3.68, r_old= 2.19], Reward=  2679.06 /  2641.98 / -inf, epsilon=  0.996, speed=  2.01, gear= 1, damage= 900.00
Ep:0 step:1080(1081), a_t=[s=-1.00, t= 0.509423, b= 0.000000], r_t=[r= 2.14, prog= 5.66, pen=-3.52, r_old= 2.14], Reward=  2721.78 /  2684.71 / -inf, epsilon=  0.996, speed=  1.93, gear= 1, damage= 900.00
Ep:0 step:1100(1101), a_t=[s=-1.00, t= 0.720957, b= 0.000000], r_t=[r= 12.82, prog= 33.85, pen=-21.02, r_old= 12.82], Reward=  2845.24 /  2808.16 / -inf, epsilon=  0.996, speed=  11.54, gear= 1, damage= 900.00
META = 1 ... Running backwards
=============================================================
 starting episode: 1/2000
Client connected on 3107..............
Ep:1 step:0(1107), a_t=[s=-1.00, t= 0.599479, b= 0.000000], r_t=[r= 0.18, prog= 0.18, pen=-0.00, r_old= 0.18], Reward=  0.18 /  0.18 /  2520.80, epsilon=  0.996, speed=  0.06, gear= 1, damage= 0.00
Ep:1 step:20(1127), a_t=[s= 0.26, t= 0.405672, b= 0.000000], r_t=[r= 5.80, prog= 76.10, pen=-70.30, r_old= 5.80], Reward=  642.91 /  642.91 /  2520.80, epsilon=  0.996, speed=  37.56, gear= 1, damage= 0.00
Ep:1 step:40(1147), a_t=[s=-0.28, t= 0.492694, b= 0.000000], r_t=[r=-0.01, prog= 0.03, pen=-0.04, r_old=-0.01], Reward=  30.64 /  44.99 /  2520.80, epsilon=  0.996, speed=  0.01, gear= 1, damage= 496.00
Ep:1 step:60(1167), a_t=[s=-1.00, t= 0.382602, b= 0.000000], r_t=[r=-0.13, prog= 0.33, pen=-0.46, r_old=-0.13], Reward=  26.72 /  41.07 /  2520.80, epsilon=  0.996, speed=  0.17, gear= 1, damage= 496.00
Ep:1 step:80(1187), a_t=[s=-0.74, t= 0.544749, b= 0.000000], r_t=[r=-0.16, prog= 0.49, pen=-0.65, r_old=-0.16], Reward=  23.68 /  38.03 /  2520.80, epsilon=  0.996, speed=  0.24, gear= 1, damage= 496.00
Ep:1 step:100(1207), a_t=[s= 0.59, t= 0.616369, b= 0.000000], r_t=[r=-0.24, prog= 0.91, pen=-1.14, r_old=-0.24], Reward=  20.41 /  34.76 /  2520.80, epsilon=  0.996, speed=  0.42, gear= 1, damage= 496.00
Ep:1 step:120(1227), a_t=[s=-0.04, t= 0.426046, b= 0.000000], r_t=[r=-0.09, prog= 0.48, pen=-0.58, r_old=-0.09], Reward=  17.46 /  31.81 /  2520.80, epsilon=  0.996, speed=  0.22, gear= 1, damage= 496.00
Ep:1 step:140(1247), a_t=[s= 0.74, t= 0.472451, b= 0.000000], r_t=[r=-0.12, prog= 0.81, pen=-0.93, r_old=-0.12], Reward=  15.23 /  29.58 /  2520.80, epsilon=  0.996, speed=  0.35, gear= 1, damage= 496.00
Ep:1 step:160(1267), a_t=[s= 0.23, t= 0.477137, b= 0.000000], r_t=[r=-0.15, prog= 1.55, pen=-1.69, r_old=-0.15], Reward=  12.83 /  27.18 /  2520.80, epsilon=  0.996, speed=  0.65, gear= 1, damage= 496.00
Ep:1 step:180(1287), a_t=[s=-1.00, t= 0.447759, b= 0.000000], r_t=[r=-0.03, prog= 0.52, pen=-0.55, r_old=-0.03], Reward=  11.47 /  25.82 /  2520.80, epsilon=  0.996, speed=  0.21, gear= 1, damage= 496.00
Ep:1 step:200(1307), a_t=[s= 0.52, t= 0.480909, b= 0.000000], r_t=[r=-0.00, prog= 1.43, pen=-1.43, r_old=-0.00], Reward=  10.78 /  25.13 /  2520.80, epsilon=  0.996, speed=  0.56, gear= 1, damage= 496.00
Ep:1 step:220(1327), a_t=[s=-0.10, t= 0.443990, b= 0.000000], r_t=[r= 0.02, prog= 1.45, pen=-1.43, r_old= 0.02], Reward=  10.89 /  25.24 /  2520.80, epsilon=  0.996, speed=  0.57, gear= 1, damage= 496.00
Ep:1 step:240(1347), a_t=[s=-0.73, t= 0.474930, b= 0.000000], r_t=[r= 0.03, prog= 0.69, pen=-0.66, r_old= 0.03], Reward=  11.87 /  26.22 /  2520.80, epsilon=  0.996, speed=  0.26, gear= 1, damage= 496.00
Ep:1 step:260(1367), a_t=[s= 0.72, t= 0.416372, b= 0.000000], r_t=[r= 0.12, prog= 2.00, pen=-1.88, r_old= 0.12], Reward=  13.07 /  27.43 /  2520.80, epsilon=  0.995, speed=  0.76, gear= 1, damage= 496.00
Ep:1 step:280(1387), a_t=[s=-1.00, t= 0.395254, b= 0.000000], r_t=[r= 0.06, prog= 0.79, pen=-0.73, r_old= 0.06], Reward=  15.25 /  29.60 /  2520.80, epsilon=  0.995, speed=  0.30, gear= 1, damage= 496.00
Ep:1 step:300(1407), a_t=[s=-1.00, t= 0.518606, b= 0.000000], r_t=[r= 0.17, prog= 1.62, pen=-1.46, r_old= 0.17], Reward=  19.23 /  33.58 /  2520.80, epsilon=  0.995, speed=  0.60, gear= 1, damage= 496.00
Ep:1 step:320(1427), a_t=[s=-0.62, t= 0.649952, b= 0.000000], r_t=[r= 0.28, prog= 2.38, pen=-2.10, r_old= 0.28], Reward=  24.00 /  38.35 /  2520.80, epsilon=  0.995, speed=  0.87, gear= 1, damage= 496.00
Ep:1 step:340(1447), a_t=[s=-1.00, t= 0.349989, b= 0.000000], r_t=[r= 0.17, prog= 1.41, pen=-1.23, r_old= 0.17], Reward=  28.81 /  43.16 /  2520.80, epsilon=  0.995, speed=  0.51, gear= 1, damage= 496.00
Ep:1 step:360(1467), a_t=[s= 0.43, t= 0.470323, b= 0.000000], r_t=[r= 0.93, prog= 6.44, pen=-5.50, r_old= 0.93], Reward=  36.31 /  50.66 /  2520.80, epsilon=  0.995, speed=  2.31, gear= 1, damage= 496.00
Ep:1 step:380(1487), a_t=[s=-0.36, t= 0.480171, b= 0.000000], r_t=[r= 0.48, prog= 2.67, pen=-2.19, r_old= 0.48], Reward=  49.63 /  63.98 /  2520.80, epsilon=  0.995, speed=  0.94, gear= 1, damage= 496.00
Ep:1 step:400(1507), a_t=[s=-0.52, t= 0.306086, b= 0.003780], r_t=[r= 0.46, prog= 2.08, pen=-1.62, r_old= 0.46], Reward=  75.61 /  89.96 /  2520.80, epsilon=  0.995, speed=  0.71, gear= 1, damage= 496.00
Ep:1 step:420(1527), a_t=[s=-1.00, t= 0.442243, b= 0.000000], r_t=[r= 0.74, prog= 3.12, pen=-2.38, r_old= 0.74], Reward=  104.63 /  118.98 /  2520.80, epsilon=  0.995, speed=  1.07, gear= 1, damage= 496.00
Ep:1 step:440(1547), a_t=[s= 1.00, t= 0.450878, b= 0.000000], r_t=[r= 8.28, prog= 26.75, pen=-18.47, r_old= 8.28], Reward=  192.85 /  207.20 /  2520.80, epsilon=  0.995, speed=  8.93, gear= 1, damage= 496.00
Ep:1 step:460(1567), a_t=[s=-0.58, t= 0.471863, b= 0.000000], r_t=[r= 2.38, prog= 8.18, pen=-5.80, r_old= 2.38], Reward=  284.87 /  299.22 /  2520.80, epsilon=  0.995, speed=  2.75, gear= 1, damage= 496.00
Ep:1 step:480(1587), a_t=[s=-0.76, t= 0.413820, b= 0.000000], r_t=[r= 3.47, prog= 11.32, pen=-7.85, r_old= 3.47], Reward=  362.84 /  377.19 /  2520.80, epsilon=  0.995, speed=  3.80, gear= 1, damage= 496.00
Ep:1 step:500(1607), a_t=[s=-1.00, t= 0.514161, b= 0.000000], r_t=[r= 3.64, prog= 11.30, pen=-7.66, r_old= 3.64], Reward=  478.51 /  492.86 /  2520.80, epsilon=  0.995, speed=  3.79, gear= 1, damage= 496.00
Ep:1 step:520(1627), a_t=[s= 0.31, t= 0.502793, b= 0.000000], r_t=[r= 10.44, prog= 29.35, pen=-18.91, r_old= 10.44], Reward=  577.62 /  591.97 /  2520.80, epsilon=  0.995, speed=  9.79, gear= 1, damage= 496.00
Ep:1 step:540(1647), a_t=[s=-0.82, t= 0.674646, b= 0.000000], r_t=[r= 2.27, prog= 6.98, pen=-4.71, r_old= 2.27], Reward=  644.03 /  658.38 /  2520.80, epsilon=  0.995, speed=  2.35, gear= 1, damage= 496.00
Ep:1 step:560(1667), a_t=[s=-1.00, t= 0.453584, b= 0.000000], r_t=[r= 2.26, prog= 6.94, pen=-4.68, r_old= 2.26], Reward=  695.98 /  710.33 /  2520.80, epsilon=  0.994, speed=  2.34, gear= 1, damage= 496.00
Ep:1 step:580(1687), a_t=[s=-0.68, t= 0.449734, b= 0.000000], r_t=[r= 11.39, prog= 30.46, pen=-19.08, r_old= 11.39], Reward=  842.42 /  856.77 /  2520.80, epsilon=  0.994, speed=  10.17, gear= 1, damage= 496.00
Ep:1 step:600(1707), a_t=[s= 1.00, t= 0.550238, b= 0.000000], r_t=[r= 17.53, prog= 42.31, pen=-24.78, r_old= 17.53], Reward=  1128.50 /  1142.85 /  2520.80, epsilon=  0.994, speed=  14.11, gear= 1, damage= 496.00
Ep:1 step:620(1727), a_t=[s=-0.78, t= 0.380945, b= 0.000000], r_t=[r= 1.95, prog= 4.97, pen=-3.02, r_old= 1.95], Reward=  1287.71 /  1302.06 /  2520.80, epsilon=  0.994, speed=  1.67, gear= 1, damage= 496.00
Ep:1 step:640(1747), a_t=[s= 1.00, t= 0.553843, b= 0.000000], r_t=[r= 2.80, prog= 7.09, pen=-4.29, r_old= 2.80], Reward=  1370.38 /  1384.73 /  2520.80, epsilon=  0.994, speed=  2.39, gear= 1, damage= 496.00
Ep:1 step:660(1767), a_t=[s=-0.80, t= 0.475301, b= 0.000000], r_t=[r= 2.28, prog= 5.77, pen=-3.49, r_old= 2.28], Reward=  1440.29 /  1454.64 /  2520.80, epsilon=  0.994, speed=  1.95, gear= 1, damage= 496.00
Ep:1 step:680(1787), a_t=[s= 0.33, t= 0.442036, b= 0.000000], r_t=[r= 6.38, prog= 16.09, pen=-9.71, r_old= 6.38], Reward=  1495.01 /  1509.36 /  2520.80, epsilon=  0.994, speed=  5.44, gear= 1, damage= 496.00
Ep:1 step:700(1807), a_t=[s=-0.83, t= 0.380324, b= 0.000000], r_t=[r= 6.52, prog= 20.67, pen=-14.15, r_old= 6.52], Reward=  1701.37 /  1715.72 /  2520.80, epsilon=  0.994, speed=  7.36, gear= 1, damage= 496.00
Ep:1 step:720(1827), a_t=[s=-1.00, t= 0.501707, b= 0.000000], r_t=[r= 0.78, prog= 2.50, pen=-1.72, r_old= 0.78], Reward=  1675.66 /  1686.58 /  2520.80, epsilon=  0.994, speed=  0.89, gear= 1, damage= 557.00
Ep:1 step:740(1847), a_t=[s=-1.00, t= 0.549036, b= 0.000000], r_t=[r= 2.50, prog= 7.12, pen=-4.61, r_old= 2.50], Reward=  1718.73 /  1729.64 /  2520.80, epsilon=  0.994, speed=  2.47, gear= 1, damage= 557.00
Ep:1 step:760(1867), a_t=[s= 0.41, t= 0.550273, b= 0.000000], r_t=[r= 4.38, prog= 11.66, pen=-7.28, r_old= 4.38], Reward=  1768.55 /  1779.46 /  2520.80, epsilon=  0.994, speed=  3.98, gear= 1, damage= 557.00
Ep:1 step:780(1887), a_t=[s=-0.32, t= 0.600677, b= 0.000000], r_t=[r= 7.30, prog= 20.38, pen=-13.09, r_old= 7.30], Reward=  1882.72 /  1893.63 /  2520.80, epsilon=  0.994, speed=  7.04, gear= 1, damage= 557.00
Ep:1 step:800(1907), a_t=[s=-1.00, t= 0.529902, b= 0.000000], r_t=[r= 1.13, prog= 3.38, pen=-2.25, r_old= 1.13], Reward=  1883.45 /  1886.57 /  2520.80, epsilon=  0.994, speed=  1.19, gear= 1, damage= 589.00
Ep:1 step:820(1927), a_t=[s= 0.36, t= 0.430405, b= 0.000000], r_t=[r= 2.39, prog= 6.62, pen=-4.24, r_old= 2.39], Reward=  1917.81 /  1920.93 /  2520.80, epsilon=  0.994, speed=  2.29, gear= 1, damage= 589.00
Ep:1 step:840(1947), a_t=[s=-1.00, t= 0.530476, b= 0.000000], r_t=[r= 2.29, prog= 6.14, pen=-3.85, r_old= 2.29], Reward=  1966.33 /  1969.46 /  2520.80, epsilon=  0.994, speed=  2.10, gear= 1, damage= 589.00
Ep:1 step:860(1967), a_t=[s= 0.34, t= 0.452162, b= 0.000000], r_t=[r= 4.90, prog= 15.97, pen=-11.06, r_old= 4.90], Reward=  2119.87 /  2122.99 /  2520.80, epsilon=  0.993, speed=  5.72, gear= 1, damage= 589.00
Ep:1 step:880(1987), a_t=[s= 0.75, t= 0.590131, b= 0.000000], r_t=[r= 3.79, prog= 10.91, pen=-7.12, r_old= 3.79], Reward=  2158.25 /  2161.38 /  2520.80, epsilon=  0.993, speed=  3.80, gear= 1, damage= 589.00
Ep:1 step:900(2007), a_t=[s= 0.44, t= 0.504722, b= 0.000000], r_t=[r= 7.42, prog= 19.33, pen=-11.91, r_old= 7.42], Reward=  2212.37 /  2215.50 /  2520.80, epsilon=  0.993, speed=  6.58, gear= 1, damage= 589.00
Ep:1 step:920(2027), a_t=[s=-1.00, t= 0.703144, b= 0.000000], r_t=[r= 1.75, prog= 4.95, pen=-3.20, r_old= 1.75], Reward=  2256.51 /  2256.00 /  2520.80, epsilon=  0.993, speed=  1.72, gear= 1, damage= 595.00
Ep:1 step:940(2047), a_t=[s=-0.58, t= 0.484459, b= 0.000000], r_t=[r= 5.64, prog= 14.77, pen=-9.13, r_old= 5.64], Reward=  2309.82 /  2309.31 /  2520.80, epsilon=  0.993, speed=  5.03, gear= 1, damage= 595.00
