=============================================================
 starting episode: 0/2000
Client connected on 3102..............
Ep:0 step:0(1), a_t=[s=-1.00, t= 0.427896, b= 0.000000], r_t=[r= 0.30, prog= 0.30, pen=-0.00, r_old= 0.30], Reward=  0.30 /  0.30 / -inf, epsilon=  1.000, speed=  0.10, gear= 0, damage= 0.00
Ep:0 step:760(761), a_t=[s= 1.00, t= 0.621839, b= 0.000000], r_t=[r= 0.33, prog= 1.57, pen=-1.23, r_old= 0.33], Reward=  4434.45 /  4397.67 / -inf, epsilon=  0.997, speed=  0.60, gear= 1, damage= 590.00
Ep:0 step:780(781), a_t=[s= 0.34, t= 0.467724, b= 0.000000], r_t=[r= 0.45, prog= 1.88, pen=-1.44, r_old= 0.45], Reward=  4441.63 /  4404.85 / -inf, epsilon=  0.997, speed=  0.71, gear= 1, damage= 590.00
Ep:0 step:800(801), a_t=[s= 0.74, t= 0.495995, b= 0.000000], r_t=[r= 0.45, prog= 1.64, pen=-1.19, r_old= 0.45], Reward=  4454.32 /  4417.54 / -inf, epsilon=  0.997, speed=  0.60, gear= 1, damage= 590.00
Ep:0 step:820(821), a_t=[s= 0.92, t= 0.672213, b= 0.000000], r_t=[r= 0.68, prog= 2.21, pen=-1.53, r_old= 0.68], Reward=  4473.19 /  4436.40 / -inf, epsilon=  0.997, speed=  0.79, gear= 1, damage= 590.00
Ep:0 step:840(841), a_t=[s=-0.36, t= 0.427565, b= 0.000000], r_t=[r= 1.63, prog= 4.80, pen=-3.17, r_old= 1.63], Reward=  4502.56 /  4465.78 / -inf, epsilon=  0.997, speed=  1.68, gear= 1, damage= 590.00
Ep:0 step:860(861), a_t=[s= 1.00, t= 0.546570, b= 0.000000], r_t=[r= 3.03, prog= 7.96, pen=-4.93, r_old= 3.03], Reward=  4574.79 /  4538.01 / -inf, epsilon=  0.997, speed=  2.71, gear= 1, damage= 590.00
Ep:0 step:880(881), a_t=[s= 0.25, t= 0.604889, b= 0.000000], r_t=[r= 3.00, prog= 10.19, pen=-7.19, r_old= 3.00], Reward=  4784.31 /  4747.52 / -inf, epsilon=  0.997, speed=  3.69, gear= 1, damage= 590.00
Ep:0 step:900(901), a_t=[s= 1.00, t= 0.393295, b= 0.000000], r_t=[r= 2.74, prog= 7.85, pen=-5.10, r_old= 2.74], Reward=  4824.45 /  4787.66 / -inf, epsilon=  0.997, speed=  2.72, gear= 1, damage= 590.00
Ep:0 step:920(921), a_t=[s= 0.17, t= 0.530589, b= 0.000000], r_t=[r= 1.18, prog= 3.26, pen=-2.07, r_old= 1.18], Reward=  4864.87 /  4828.08 / -inf, epsilon=  0.997, speed=  1.12, gear= 1, damage= 590.00
Ep:0 step:940(941), a_t=[s= 0.88, t= 0.564023, b= 0.000000], r_t=[r= 2.56, prog= 6.71, pen=-4.15, r_old= 2.56], Reward=  4942.11 /  4905.32 / -inf, epsilon=  0.997, speed=  2.29, gear= 1, damage= 590.00
Ep:0 step:960(961), a_t=[s=-0.52, t= 0.474715, b= 0.000000], r_t=[r= 5.73, prog= 15.05, pen=-9.32, r_old= 5.73], Reward=  4982.78 /  4941.95 / -inf, epsilon=  0.997, speed=  5.13, gear= 1, damage= 620.00
Ep:0 step:980(981), a_t=[s= 0.85, t= 0.493037, b= 0.000000], r_t=[r= 3.15, prog= 8.95, pen=-5.79, r_old= 3.15], Reward=  5008.87 /  4956.91 / -inf, epsilon=  0.997, speed=  3.10, gear= 1, damage= 675.00
Ep:0 step:1000(1001), a_t=[s= 0.95, t= 0.628143, b= 0.000000], r_t=[r= 1.44, prog= 3.82, pen=-2.37, r_old= 1.44], Reward=  5083.78 /  5031.82 / -inf, epsilon=  0.997, speed=  1.30, gear= 1, damage= 675.00
Ep:0 step:1020(1021), a_t=[s=-0.74, t= 0.704029, b= 0.000000], r_t=[r= 2.98, prog= 7.78, pen=-4.80, r_old= 2.98], Reward=  5153.80 /  5101.84 / -inf, epsilon=  0.997, speed=  2.65, gear= 1, damage= 675.00
Ep:0 step:1040(1041), a_t=[s=-0.82, t= 0.408561, b= 0.000000], r_t=[r= 15.82, prog= 41.68, pen=-25.86, r_old= 15.82], Reward=  5323.51 /  5271.55 / -inf, epsilon=  0.997, speed=  14.22, gear= 1, damage= 675.00
Ep:0 step:1060(1061), a_t=[s= 0.11, t= 0.435378, b= 0.000000], r_t=[r= 1.77, prog= 5.26, pen=-3.49, r_old= 1.77], Reward=  5395.08 /  5343.12 / -inf, epsilon=  0.996, speed=  1.84, gear= 1, damage= 675.00
Ep:0 step:1080(1081), a_t=[s= 0.65, t= 0.502180, b= 0.000000], r_t=[r= 3.27, prog= 8.97, pen=-5.70, r_old= 3.27], Reward=  5437.38 /  5385.42 / -inf, epsilon=  0.996, speed=  3.08, gear= 1, damage= 675.00
Ep:0 step:1100(1101), a_t=[s= 0.15, t= 0.387640, b= 0.000000], r_t=[r= 7.68, prog= 19.82, pen=-12.14, r_old= 7.68], Reward=  5561.12 /  5499.19 / -inf, epsilon=  0.996, speed=  6.73, gear= 1, damage= 685.00
Ep:0 step:1120(1121), a_t=[s= 0.16, t= 0.442635, b= 0.000000], r_t=[r= 4.50, prog= 11.53, pen=-7.04, r_old= 4.50], Reward=  5643.19 /  5581.26 / -inf, epsilon=  0.996, speed=  3.91, gear= 1, damage= 685.00
Ep:0 step:1140(1141), a_t=[s= 0.82, t= 0.405174, b= 0.000000], r_t=[r= 7.42, prog= 19.23, pen=-11.81, r_old= 7.42], Reward=  5831.56 /  5769.63 / -inf, epsilon=  0.996, speed=  6.53, gear= 1, damage= 685.00
Ep:0 step:1160(1161), a_t=[s= 0.52, t= 0.540599, b= 0.000000], r_t=[r= 1.47, prog= 4.09, pen=-2.62, r_old= 1.47], Reward=  5895.84 /  5833.91 / -inf, epsilon=  0.996, speed=  1.41, gear= 1, damage= 685.00
Ep:0 step:1180(1181), a_t=[s=-0.58, t= 0.580276, b= 0.000000], r_t=[r= 1.81, prog= 5.00, pen=-3.19, r_old= 1.81], Reward=  5948.04 /  5886.11 / -inf, epsilon=  0.996, speed=  1.72, gear= 1, damage= 685.00
Ep:0 step:1200(1201), a_t=[s=-0.45, t= 0.472484, b= 0.000000], r_t=[r= 6.25, prog= 16.13, pen=-9.88, r_old= 6.25], Reward=  6028.91 /  5966.98 / -inf, epsilon=  0.996, speed=  5.47, gear= 1, damage= 685.00
Ep:0 step:1220(1221), a_t=[s= 0.19, t= 0.480346, b= 0.000000], r_t=[r= 5.63, prog= 15.35, pen=-9.72, r_old= 5.63], Reward=  6181.19 /  6113.21 / -inf, epsilon=  0.996, speed=  5.27, gear= 1, damage= 709.00
Ep:0 step:1240(1241), a_t=[s= 1.00, t= 0.364242, b= 0.000000], r_t=[r= 2.60, prog= 6.91, pen=-4.31, r_old= 2.60], Reward=  6241.27 /  6173.30 / -inf, epsilon=  0.996, speed=  2.36, gear= 1, damage= 709.00
Ep:0 step:1260(1261), a_t=[s= 0.79, t= 0.474604, b= 0.000000], r_t=[r= 5.24, prog= 13.60, pen=-8.36, r_old= 5.24], Reward=  6327.95 /  6259.97 / -inf, epsilon=  0.996, speed=  4.62, gear= 1, damage= 709.00
Ep:0 step:1280(1281), a_t=[s= 0.15, t= 0.337400, b= 0.000000], r_t=[r= 23.58, prog= 58.29, pen=-34.71, r_old= 23.58], Reward=  6597.32 /  6529.34 / -inf, epsilon=  0.996, speed=  19.62, gear= 1, damage= 709.00
Ep:0 step:1300(1301), a_t=[s= 0.89, t= 0.533309, b= 0.000000], r_t=[r= 0.20, prog= 1.03, pen=-0.83, r_old= 0.20], Reward=  6714.17 /  6646.20 / -inf, epsilon=  0.996, speed=  0.40, gear= 1, damage= 709.00
Ep:0 step:1320(1321), a_t=[s=-0.16, t= 0.505550, b= 0.013391], r_t=[r= 0.21, prog= 0.99, pen=-0.78, r_old= 0.21], Reward=  6720.07 /  6652.09 / -inf, epsilon=  0.996, speed=  0.38, gear= 1, damage= 709.00
Ep:0 step:1340(1341), a_t=[s= 1.00, t= 0.448542, b= 0.000000], r_t=[r= 0.47, prog= 1.95, pen=-1.48, r_old= 0.47], Reward=  6727.67 /  6659.70 / -inf, epsilon=  0.996, speed=  0.74, gear= 1, damage= 709.00
Ep:0 step:1360(1361), a_t=[s=-1.00, t= 0.437467, b= 0.000000], r_t=[r= 0.55, prog= 1.94, pen=-1.39, r_old= 0.55], Reward=  6742.51 /  6674.54 / -inf, epsilon=  0.995, speed=  0.71, gear= 1, damage= 709.00
Ep:0 step:1380(1381), a_t=[s= 0.95, t= 0.645304, b= 0.000000], r_t=[r= 2.14, prog= 6.88, pen=-4.74, r_old= 2.14], Reward=  6761.30 /  6693.33 / -inf, epsilon=  0.995, speed=  2.46, gear= 1, damage= 709.00
Ep:0 step:1400(1401), a_t=[s= 1.00, t= 0.485353, b= 0.000000], r_t=[r= 1.75, prog= 5.07, pen=-3.32, r_old= 1.75], Reward=  6793.12 /  6725.15 / -inf, epsilon=  0.995, speed=  1.77, gear= 1, damage= 709.00
Ep:0 step:1420(1421), a_t=[s=-0.00, t= 0.391707, b= 0.000000], r_t=[r= 1.39, prog= 3.83, pen=-2.44, r_old= 1.39], Reward=  6834.63 /  6766.65 / -inf, epsilon=  0.995, speed=  1.32, gear= 1, damage= 709.00
Ep:0 step:1440(1441), a_t=[s=-0.09, t= 0.566814, b= 0.006457], r_t=[r= 8.31, prog= 21.49, pen=-13.18, r_old= 8.31], Reward=  6946.00 /  6878.02 / -inf, epsilon=  0.995, speed=  7.30, gear= 1, damage= 709.00
Ep:0 step:1460(1461), a_t=[s=-0.15, t= 0.562653, b= 0.000000], r_t=[r= 8.57, prog= 21.79, pen=-13.22, r_old= 8.57], Reward=  7045.28 /  6977.30 / -inf, epsilon=  0.995, speed=  7.37, gear= 1, damage= 709.00
Ep:0 step:1480(1481), a_t=[s= 0.74, t= 0.507475, b= 0.000000], r_t=[r= 1.61, prog= 5.06, pen=-3.46, r_old= 1.61], Reward=  7255.85 /  7173.78 / -inf, epsilon=  0.995, speed=  1.80, gear= 1, damage= 733.00
Ep:0 step:1500(1501), a_t=[s=-1.00, t= 0.405148, b= 0.000000], r_t=[r= 2.15, prog= 6.39, pen=-4.24, r_old= 2.15], Reward=  7281.23 /  7199.16 / -inf, epsilon=  0.995, speed=  2.24, gear= 1, damage= 733.00
Ep:0 step:1520(1521), a_t=[s= 0.55, t= 0.354867, b= 0.000000], r_t=[r= 1.95, prog= 5.45, pen=-3.50, r_old= 1.95], Reward=  7321.52 /  7239.45 / -inf, epsilon=  0.995, speed=  1.88, gear= 1, damage= 733.00
Ep:0 step:1540(1541), a_t=[s= 0.19, t= 0.472898, b= 0.000000], r_t=[r= 3.04, prog= 8.15, pen=-5.11, r_old= 3.04], Reward=  7372.70 /  7290.64 / -inf, epsilon=  0.995, speed=  2.79, gear= 1, damage= 733.00
Ep:0 step:1560(1561), a_t=[s= 0.61, t= 0.442744, b= 0.000000], r_t=[r= 3.38, prog= 8.81, pen=-5.43, r_old= 3.38], Reward=  7443.67 /  7361.61 / -inf, epsilon=  0.995, speed=  3.00, gear= 1, damage= 733.00
Ep:0 step:1580(1581), a_t=[s= 0.23, t= 0.472814, b= 0.000000], r_t=[r= 20.37, prog= 51.98, pen=-31.61, r_old= 20.37], Reward=  7681.49 /  7599.42 / -inf, epsilon=  0.995, speed=  17.61, gear= 1, damage= 733.00
Ep:0 step:1600(1601), a_t=[s=-0.72, t= 0.356596, b= 0.000000], r_t=[r=-0.05, prog= 0.55, pen=-0.60, r_old=-0.05], Reward=  7821.89 /  7739.82 / -inf, epsilon=  0.995, speed=  0.27, gear= 1, damage= 733.00
Ep:0 step:1620(1621), a_t=[s= 0.42, t= 0.497767, b= 0.000000], r_t=[r=-0.03, prog= 0.57, pen=-0.60, r_old=-0.03], Reward=  7821.19 /  7739.12 / -inf, epsilon=  0.995, speed=  0.27, gear= 1, damage= 733.00
Ep:0 step:1640(1641), a_t=[s=-0.16, t= 0.421772, b= 0.000000], r_t=[r= 0.00, prog= 0.61, pen=-0.61, r_old= 0.00], Reward=  7820.89 /  7738.82 / -inf, epsilon=  0.995, speed=  0.28, gear= 1, damage= 733.00
Ep:0 step:1660(1661), a_t=[s= 0.41, t= 0.724301, b= 0.000000], r_t=[r= 0.03, prog= 0.78, pen=-0.75, r_old= 0.03], Reward=  7821.15 /  7739.09 / -inf, epsilon=  0.994, speed=  0.35, gear= 1, damage= 733.00
Ep:0 step:1680(1681), a_t=[s=-0.33, t= 0.632963, b= 0.000000], r_t=[r= 0.15, prog= 1.70, pen=-1.55, r_old= 0.15], Reward=  7822.26 /  7740.19 / -inf, epsilon=  0.994, speed=  0.73, gear= 1, damage= 733.00
Ep:0 step:1700(1701), a_t=[s= 0.67, t= 0.424142, b= 0.000000], r_t=[r= 0.27, prog= 2.28, pen=-2.01, r_old= 0.27], Reward=  7824.41 /  7742.34 / -inf, epsilon=  0.994, speed=  0.95, gear= 1, damage= 733.00
Ep:0 step:1720(1721), a_t=[s= 0.30, t= 0.481672, b= 0.000000], r_t=[r= 0.19, prog= 1.21, pen=-1.02, r_old= 0.19], Reward=  7827.77 /  7745.70 / -inf, epsilon=  0.994, speed=  0.49, gear= 1, damage= 733.00
Ep:0 step:1740(1741), a_t=[s= 1.00, t= 0.449169, b= 0.000000], r_t=[r= 0.31, prog= 1.53, pen=-1.22, r_old= 0.31], Reward=  7833.97 /  7751.90 / -inf, epsilon=  0.994, speed=  0.59, gear= 1, damage= 733.00
Ep:0 step:1760(1761), a_t=[s=-0.77, t= 0.689355, b= 0.000000], r_t=[r= 0.35, prog= 1.41, pen=-1.06, r_old= 0.35], Reward=  7843.71 /  7761.65 / -inf, epsilon=  0.994, speed=  0.53, gear= 1, damage= 733.00
Ep:0 step:1780(1781), a_t=[s= 0.08, t= 0.625729, b= 0.000000], r_t=[r= 2.82, prog= 8.85, pen=-6.03, r_old= 2.82], Reward=  7868.86 /  7786.79 / -inf, epsilon=  0.994, speed=  3.14, gear= 1, damage= 733.00
Ep:0 step:1800(1801), a_t=[s=-0.05, t= 0.413031, b= 0.000000], r_t=[r= 2.37, prog= 6.76, pen=-4.39, r_old= 2.37], Reward=  7956.76 /  7874.69 / -inf, epsilon=  0.994, speed=  2.34, gear= 1, damage= 733.00
Ep:0 step:1820(1821), a_t=[s= 0.46, t= 0.684428, b= 0.000000], r_t=[r= 5.53, prog= 14.45, pen=-8.92, r_old= 5.53], Reward=  8026.00 /  7943.93 / -inf, epsilon=  0.994, speed=  4.91, gear= 1, damage= 733.00
Ep:0 step:1840(1841), a_t=[s= 0.62, t= 0.400798, b= 0.000000], r_t=[r= 6.45, prog= 17.26, pen=-10.82, r_old= 6.45], Reward=  8134.14 /  8046.86 / -inf, epsilon=  0.994, speed=  5.90, gear= 1, damage= 760.00
Ep:0 step:1860(1861), a_t=[s=-0.15, t= 0.627344, b= 0.000000], r_t=[r= 6.10, prog= 16.11, pen=-10.01, r_old= 6.10], Reward=  8233.86 /  8136.80 / -inf, epsilon=  0.994, speed=  5.49, gear= 1, damage= 773.00
Ep:0 step:1880(1881), a_t=[s= 0.11, t= 0.614436, b= 0.000000], r_t=[r= 1.18, prog= 68.71, pen=-67.52, r_old= 1.18], Reward=  8577.19 /  8480.12 / -inf, epsilon=  0.994, speed=  39.30, gear= 1, damage= 773.00
META = 1 ... Running backwards
=============================================================
 starting episode: 1/2000
Client connected on 3102..............
Ep:1 step:0(1890), a_t=[s= 0.45, t= 0.483954, b= 0.000000], r_t=[r= 0.29, prog= 0.29, pen=-0.00, r_old= 0.29], Reward=  0.29 /  0.29 /  7426.18, epsilon=  0.994, speed=  0.10, gear= 1, damage= 0.00
Ep:1 step:20(1910), a_t=[s=-0.45, t= 0.463047, b= 0.000000], r_t=[r= 17.98, prog= 70.70, pen=-52.73, r_old= 17.98], Reward=  595.88 /  595.88 /  7426.18, epsilon=  0.994, speed=  32.51, gear= 1, damage= 0.00
Ep:1 step:40(1930), a_t=[s= 0.31, t= 0.674374, b= 0.000000], r_t=[r=-0.43, prog= 0.23, pen=-0.67, r_old=-0.43], Reward= -336.94 / -333.00 /  7426.18, epsilon=  0.994, speed=  0.23, gear= 1, damage= 722.00
Ep:1 step:60(1950), a_t=[s= 0.84, t= 0.272633, b= 0.000000], r_t=[r=-0.00, prog=-0.11, pen= 0.11, r_old=-0.00], Reward= -339.60 / -335.67 /  7426.18, epsilon=  0.993, speed= -0.10, gear= 1, damage= 722.00
Ep:1 step:80(1970), a_t=[s=-1.00, t= 0.440377, b= 0.000000], r_t=[r=-0.10, prog= 0.06, pen=-0.16, r_old=-0.10], Reward= -343.58 / -339.64 /  7426.18, epsilon=  0.993, speed=  0.05, gear= 1, damage= 722.00
Ep:1 step:100(1990), a_t=[s=-0.67, t= 0.399028, b= 0.000000], r_t=[r=-0.21, prog= 0.14, pen=-0.35, r_old=-0.21], Reward= -346.11 / -342.18 /  7426.18, epsilon=  0.993, speed=  0.12, gear= 1, damage= 722.00
Ep:1 step:120(2010), a_t=[s=-0.55, t= 0.653391, b= 0.000000], r_t=[r=-0.40, prog= 0.31, pen=-0.71, r_old=-0.40], Reward= -348.62 / -344.68 /  7426.18, epsilon=  0.993, speed=  0.24, gear= 1, damage= 722.00
Ep:1 step:140(2030), a_t=[s=-0.27, t= 0.300303, b= 0.000000], r_t=[r=-0.04, prog=-0.18, pen= 0.15, r_old=-0.04], Reward= -351.56 / -347.63 /  7426.18, epsilon=  0.993, speed= -0.13, gear= 1, damage= 722.00
Ep:1 step:160(2050), a_t=[s=-0.34, t= 0.470781, b= 0.000000], r_t=[r=-0.32, prog= 0.38, pen=-0.70, r_old=-0.32], Reward= -355.14 / -351.20 /  7426.18, epsilon=  0.993, speed=  0.25, gear= 1, damage= 722.00
