=============================================================
 starting episode: 1400/2000
Waiting for server on 3109............
Count Down : 5
Client connected on 3109..............
Ep:1400 step:0(702960), a_t=[s=-1.00, t= 0.000000, b= 1.000000], r_t=[r=-0.00, prog=-0.00, pen= 0.00, r_old=-0.00], Reward= -0.00 / -0.00 /  4879.33, epsilon=  0.100, speed= -0.00, gear= 1, damage= 0.00
Ep:1400 step:220(703180), a_t=[s=-1.00, t= 0.000000, b= 1.000000], r_t=[r= 0.37, prog= 0.38, pen=-0.01, r_old= 0.37], Reward=  3.91 /  3.91 /  4879.33, epsilon=  0.100, speed=  0.13, gear= 1, damage= 0.00
Ep:1400 step:240(703200), a_t=[s=-1.00, t= 0.000000, b= 1.000000], r_t=[r=-0.17, prog=-0.17, pen=-0.00, r_old=-0.17], Reward=  3.57 /  3.57 /  4879.33, epsilon=  0.100, speed= -0.06, gear= 1, damage= 0.00
Ep:1400 step:260(703220), a_t=[s=-1.00, t= 0.000000, b= 1.000000], r_t=[r=-0.30, prog=-0.29, pen=-0.00, r_old=-0.30], Reward=  6.03 /  6.03 /  4879.33, epsilon=  0.100, speed= -0.10, gear= 1, damage= 0.00
Ep:1400 step:280(703240), a_t=[s=-1.00, t= 0.000000, b= 1.000000], r_t=[r= 0.00, prog= 0.00, pen=-0.00, r_old= 0.00], Reward=  7.50 /  7.50 /  4879.33, epsilon=  0.100, speed=  0.00, gear= 1, damage= 0.00
Ep:1400 step:300(703260), a_t=[s=-1.00, t= 0.000000, b= 1.000000], r_t=[r= 0.12, prog= 0.12, pen=-0.00, r_old= 0.12], Reward=  8.55 /  8.55 /  4879.33, epsilon=  0.100, speed=  0.04, gear= 1, damage= 0.00
Ep:1400 step:320(703280), a_t=[s=-1.00, t= 0.000000, b= 1.000000], r_t=[r=-0.16, prog=-0.16, pen=-0.00, r_old=-0.16], Reward=  10.16 /  10.16 /  4879.33, epsilon=  0.100, speed= -0.05, gear= 1, damage= 0.00
Ep:1400 step:340(703300), a_t=[s=-1.00, t= 0.000000, b= 1.000000], r_t=[r=-0.28, prog=-0.27, pen=-0.00, r_old=-0.28], Reward=  9.83 /  9.83 /  4879.33, epsilon=  0.100, speed= -0.09, gear= 1, damage= 0.00
Ep:1400 step:360(703320), a_t=[s=-1.00, t= 0.000000, b= 1.000000], r_t=[r= 0.05, prog= 0.06, pen=-0.00, r_old= 0.05], Reward=  10.22 /  10.22 /  4879.33, epsilon=  0.100, speed=  0.02, gear= 1, damage= 0.00
Ep:1400 step:380(703340), a_t=[s=-1.00, t= 0.000000, b= 1.000000], r_t=[r= 0.08, prog= 0.08, pen=-0.00, r_old= 0.08], Reward=  10.69 /  10.69 /  4879.33, epsilon=  0.100, speed=  0.03, gear= 1, damage= 0.00
Ep:1400 step:400(703360), a_t=[s=-1.00, t= 0.000000, b= 1.000000], r_t=[r=-0.02, prog=-0.02, pen=-0.00, r_old=-0.02], Reward=  11.29 /  11.29 /  4879.33, epsilon=  0.100, speed= -0.01, gear= 1, damage= 0.00
Ep:1400 step:420(703380), a_t=[s=-1.00, t= 0.000000, b= 1.000000], r_t=[r=-0.10, prog=-0.10, pen=-0.00, r_old=-0.10], Reward=  10.97 /  10.97 /  4879.33, epsilon=  0.100, speed= -0.03, gear= 1, damage= 0.00
Ep:1400 step:440(703400), a_t=[s=-1.00, t= 0.000000, b= 1.000000], r_t=[r= 0.09, prog= 0.09, pen=-0.00, r_old= 0.09], Reward=  10.91 /  10.91 /  4879.33, epsilon=  0.100, speed=  0.03, gear= 1, damage= 0.00
Ep:1400 step:460(703420), a_t=[s=-1.00, t= 0.000000, b= 1.000000], r_t=[r=-0.28, prog=-0.28, pen=-0.00, r_old=-0.28], Reward=  11.33 /  11.33 /  4879.33, epsilon=  0.100, speed= -0.09, gear= 1, damage= 0.00
Ep:1400 step:480(703440), a_t=[s=-1.00, t= 0.000000, b= 1.000000], r_t=[r= 0.08, prog= 0.08, pen=-0.00, r_old= 0.08], Reward=  12.23 /  12.23 /  4879.33, epsilon=  0.100, speed=  0.03, gear= 1, damage= 0.00
Ep:1400 step:500(703460), a_t=[s=-1.00, t= 0.000000, b= 1.000000], r_t=[r=-0.12, prog=-0.12, pen=-0.00, r_old=-0.12], Reward=  12.64 /  12.64 /  4879.33, epsilon=  0.100, speed= -0.04, gear= 1, damage= 0.00
Ep:1400 step:520(703480), a_t=[s=-1.00, t= 0.000000, b= 1.000000], r_t=[r= 0.10, prog= 0.10, pen=-0.01, r_old= 0.10], Reward=  11.62 /  11.62 /  4879.33, epsilon=  0.100, speed=  0.03, gear= 1, damage= 0.00
Ep:1400 step:540(703500), a_t=[s=-1.00, t= 0.000000, b= 1.000000], r_t=[r=-0.11, prog=-0.11, pen=-0.00, r_old=-0.11], Reward=  11.47 /  11.47 /  4879.33, epsilon=  0.100, speed= -0.04, gear= 1, damage= 0.00
Ep:1400 step:560(703520), a_t=[s=-1.00, t= 0.000000, b= 1.000000], r_t=[r=-0.23, prog=-0.23, pen=-0.00, r_old=-0.23], Reward=  12.83 /  12.83 /  4879.33, epsilon=  0.100, speed= -0.08, gear= 1, damage= 0.00
Ep:1400 step:580(703540), a_t=[s=-1.00, t= 0.000000, b= 1.000000], r_t=[r=-0.11, prog=-0.11, pen=-0.00, r_old=-0.11], Reward=  13.60 /  13.60 /  4879.33, epsilon=  0.100, speed= -0.04, gear= 1, damage= 0.00
Ep:1400 step:600(703560), a_t=[s=-1.00, t= 0.000000, b= 1.000000], r_t=[r=-0.06, prog=-0.06, pen=-0.00, r_old=-0.06], Reward=  13.52 /  13.52 /  4879.33, epsilon=  0.100, speed= -0.02, gear= 1, damage= 0.00
Ep:1400 step:620(703580), a_t=[s=-1.00, t= 0.000000, b= 1.000000], r_t=[r=-0.37, prog=-0.37, pen=-0.00, r_old=-0.37], Reward=  13.90 /  13.90 /  4879.33, epsilon=  0.100, speed= -0.12, gear= 1, damage= 0.00
Ep:1400 step:640(703600), a_t=[s=-1.00, t= 0.000000, b= 1.000000], r_t=[r=-0.03, prog=-0.03, pen=-0.00, r_old=-0.03], Reward=  14.84 /  14.84 /  4879.33, epsilon=  0.100, speed= -0.01, gear= 1, damage= 0.00
Ep:1400 step:660(703620), a_t=[s=-1.00, t= 0.000000, b= 1.000000], r_t=[r= 0.06, prog= 0.06, pen=-0.00, r_old= 0.06], Reward=  17.08 /  17.08 /  4879.33, epsilon=  0.100, speed=  0.02, gear= 1, damage= 0.00
Ep:1400 step:680(703640), a_t=[s=-1.00, t= 0.000000, b= 1.000000], r_t=[r= 0.24, prog= 0.26, pen=-0.02, r_old= 0.24], Reward=  18.90 /  18.90 /  4879.33, epsilon=  0.100, speed=  0.09, gear= 1, damage= 0.00
Ep:1400 step:700(703660), a_t=[s=-1.00, t= 0.000000, b= 1.000000], r_t=[r=-0.13, prog=-0.13, pen= 0.00, r_old=-0.13], Reward=  20.26 /  20.26 /  4879.33, epsilon=  0.100, speed= -0.05, gear= 1, damage= 0.00
Ep:1400 step:720(703680), a_t=[s=-1.00, t= 0.000000, b= 1.000000], r_t=[r=-0.03, prog=-0.03, pen= 0.00, r_old=-0.03], Reward=  18.92 /  18.92 /  4879.33, epsilon=  0.100, speed= -0.01, gear= 1, damage= 0.00
Ep:1400 step:740(703700), a_t=[s=-1.00, t= 0.000000, b= 1.000000], r_t=[r= 0.10, prog= 0.10, pen=-0.01, r_old= 0.10], Reward=  16.33 /  16.33 /  4879.33, epsilon=  0.100, speed=  0.03, gear= 1, damage= 0.00
Ep:1400 step:760(703720), a_t=[s=-1.00, t= 0.000000, b= 1.000000], r_t=[r= 0.04, prog= 0.05, pen=-0.00, r_old= 0.04], Reward=  14.14 /  14.14 /  4879.33, epsilon=  0.100, speed=  0.02, gear= 1, damage= 0.00
Ep:1400 step:780(703740), a_t=[s=-1.00, t= 0.000000, b= 1.000000], r_t=[r=-0.16, prog=-0.16, pen= 0.00, r_old=-0.16], Reward=  13.22 /  13.22 /  4879.33, epsilon=  0.100, speed= -0.06, gear= 1, damage= 0.00
Ep:1400 step:800(703760), a_t=[s=-1.00, t= 0.000000, b= 1.000000], r_t=[r=-0.12, prog=-0.12, pen= 0.00, r_old=-0.12], Reward=  12.21 /  12.21 /  4879.33, epsilon=  0.100, speed= -0.04, gear= 1, damage= 0.00
Ep:1400 step:820(703780), a_t=[s=-1.00, t= 0.000000, b= 1.000000], r_t=[r= 0.15, prog= 0.16, pen=-0.01, r_old= 0.15], Reward=  11.91 /  11.91 /  4879.33, epsilon=  0.100, speed=  0.05, gear= 1, damage= 0.00
Ep:1400 step:840(703800), a_t=[s=-1.00, t= 0.000000, b= 1.000000], r_t=[r= 0.00, prog= 0.00, pen=-0.00, r_old= 0.00], Reward=  13.59 /  13.59 /  4879.33, epsilon=  0.100, speed=  0.00, gear= 1, damage= 0.00
Ep:1400 step:860(703820), a_t=[s=-1.00, t= 0.000000, b= 1.000000], r_t=[r= 0.09, prog= 0.10, pen=-0.01, r_old= 0.09], Reward=  12.07 /  12.07 /  4879.33, epsilon=  0.100, speed=  0.03, gear= 1, damage= 0.00
Ep:1400 step:880(703840), a_t=[s=-1.00, t= 0.000000, b= 1.000000], r_t=[r=-0.02, prog=-0.02, pen= 0.00, r_old=-0.02], Reward=  13.19 /  13.19 /  4879.33, epsilon=  0.100, speed= -0.01, gear= 1, damage= 0.00
Ep:1400 step:900(703860), a_t=[s=-1.00, t= 0.000000, b= 1.000000], r_t=[r=-0.05, prog=-0.05, pen= 0.00, r_old=-0.05], Reward=  13.25 /  13.25 /  4879.33, epsilon=  0.100, speed= -0.02, gear= 1, damage= 0.00
Ep:1400 step:920(703880), a_t=[s=-1.00, t= 0.000000, b= 1.000000], r_t=[r= 0.23, prog= 0.25, pen=-0.02, r_old= 0.23], Reward=  13.59 /  13.59 /  4879.33, epsilon=  0.100, speed=  0.08, gear= 1, damage= 0.00
Ep:1400 step:940(703900), a_t=[s=-1.00, t= 0.000000, b= 1.000000], r_t=[r=-0.31, prog=-0.31, pen= 0.00, r_old=-0.31], Reward=  13.60 /  13.60 /  4879.33, epsilon=  0.100, speed= -0.11, gear= 1, damage= 0.00
Ep:1400 step:960(703920), a_t=[s=-1.00, t= 0.000000, b= 1.000000], r_t=[r= 0.07, prog= 0.08, pen=-0.01, r_old= 0.07], Reward=  13.04 /  13.04 /  4879.33, epsilon=  0.100, speed=  0.03, gear= 1, damage= 0.00
Ep:1400 step:980(703940), a_t=[s=-1.00, t= 0.000000, b= 1.000000], r_t=[r= 0.06, prog= 0.07, pen=-0.01, r_old= 0.06], Reward=  12.84 /  12.84 /  4879.33, epsilon=  0.100, speed=  0.02, gear= 1, damage= 0.00
Ep:1400 step:1000(703960), a_t=[s=-1.00, t= 0.000000, b= 1.000000], r_t=[r= 0.30, prog= 0.33, pen=-0.03, r_old= 0.30], Reward=  13.24 /  13.24 /  4879.33, epsilon=  0.100, speed=  0.11, gear= 1, damage= 0.00
Ep:1400 step:1020(703980), a_t=[s=-1.00, t= 0.000000, b= 1.000000], r_t=[r=-0.35, prog=-0.35, pen= 0.00, r_old=-0.35], Reward=  12.23 /  12.23 /  4879.33, epsilon=  0.100, speed= -0.12, gear= 1, damage= 0.00
Ep:1400 step:1040(704000), a_t=[s=-1.00, t= 0.000000, b= 1.000000], r_t=[r=-0.41, prog=-0.41, pen= 0.00, r_old=-0.41], Reward=  10.86 /  10.86 /  4879.33, epsilon=  0.100, speed= -0.14, gear= 1, damage= 0.00
Ep:1400 step:1060(704020), a_t=[s=-1.00, t= 0.000000, b= 1.000000], r_t=[r= 0.17, prog= 0.19, pen=-0.02, r_old= 0.17], Reward=  10.47 /  10.47 /  4879.33, epsilon=  0.100, speed=  0.06, gear= 1, damage= 0.00
Ep:1400 step:1080(704040), a_t=[s=-1.00, t= 0.000000, b= 1.000000], r_t=[r=-0.06, prog=-0.06, pen= 0.00, r_old=-0.06], Reward=  9.77 /  9.77 /  4879.33, epsilon=  0.100, speed= -0.02, gear= 1, damage= 0.00
Ep:1400 step:1100(704060), a_t=[s=-1.00, t= 0.000000, b= 1.000000], r_t=[r=-0.07, prog=-0.07, pen= 0.00, r_old=-0.07], Reward=  8.13 /  8.13 /  4879.33, epsilon=  0.100, speed= -0.02, gear= 1, damage= 0.00
Ep:1400 step:1120(704080), a_t=[s=-1.00, t= 0.000000, b= 1.000000], r_t=[r= 0.19, prog= 0.21, pen=-0.02, r_old= 0.19], Reward=  7.80 /  7.80 /  4879.33, epsilon=  0.100, speed=  0.07, gear= 1, damage= 0.00
Ep:1400 step:1140(704100), a_t=[s=-1.00, t= 0.000000, b= 1.000000], r_t=[r=-0.00, prog=-0.00, pen= 0.00, r_old=-0.00], Reward=  6.85 /  6.85 /  4879.33, epsilon=  0.100, speed= -0.00, gear= 1, damage= 0.00
Ep:1400 step:1160(704120), a_t=[s=-1.00, t= 0.000000, b= 1.000000], r_t=[r=-0.04, prog=-0.04, pen= 0.00, r_old=-0.04], Reward=  7.59 /  7.59 /  4879.33, epsilon=  0.100, speed= -0.01, gear= 1, damage= 0.00
Ep:1400 step:1180(704140), a_t=[s=-1.00, t= 0.000000, b= 1.000000], r_t=[r=-0.32, prog=-0.32, pen=-0.00, r_old=-0.32], Reward=  5.76 /  5.76 /  4879.33, epsilon=  0.100, speed= -0.11, gear= 1, damage= 0.00
Ep:1400 step:1200(704160), a_t=[s=-1.00, t= 0.000000, b= 1.000000], r_t=[r=-0.10, prog=-0.10, pen=-0.00, r_old=-0.10], Reward=  5.93 /  5.93 /  4879.33, epsilon=  0.100, speed= -0.03, gear= 1, damage= 0.00
Ep:1400 step:1220(704180), a_t=[s=-1.00, t= 0.000000, b= 1.000000], r_t=[r=-0.15, prog=-0.15, pen=-0.00, r_old=-0.15], Reward=  4.78 /  4.78 /  4879.33, epsilon=  0.100, speed= -0.05, gear= 1, damage= 0.00
Ep:1400 step:1240(704200), a_t=[s=-1.00, t= 0.000000, b= 1.000000], r_t=[r= 0.07, prog= 0.08, pen=-0.01, r_old= 0.07], Reward=  3.04 /  3.04 /  4879.33, epsilon=  0.100, speed=  0.03, gear= 1, damage= 0.00
Ep:1400 step:1260(704220), a_t=[s=-1.00, t= 0.000000, b= 1.000000], r_t=[r=-0.32, prog=-0.32, pen=-0.00, r_old=-0.32], Reward=  1.81 /  1.81 /  4879.33, epsilon=  0.100, speed= -0.11, gear= 1, damage= 0.00
Ep:1400 step:1280(704240), a_t=[s=-1.00, t= 0.000000, b= 1.000000], r_t=[r=-0.06, prog=-0.06, pen=-0.00, r_old=-0.06], Reward=  1.23 /  1.23 /  4879.33, epsilon=  0.100, speed= -0.02, gear= 1, damage= 0.00
Ep:1400 step:1300(704260), a_t=[s=-1.00, t= 0.000000, b= 1.000000], r_t=[r=-0.20, prog=-0.20, pen=-0.00, r_old=-0.20], Reward= -0.27 / -0.27 /  4879.33, epsilon=  0.100, speed= -0.07, gear= 1, damage= 0.00
Ep:1400 step:1320(704280), a_t=[s=-1.00, t= 0.000000, b= 1.000000], r_t=[r= 0.05, prog= 0.06, pen=-0.01, r_old= 0.05], Reward= -1.64 / -1.64 /  4879.33, epsilon=  0.100, speed=  0.02, gear= 1, damage= 0.00
Ep:1400 step:1340(704300), a_t=[s=-1.00, t= 0.000000, b= 1.000000], r_t=[r=-0.24, prog=-0.24, pen=-0.00, r_old=-0.24], Reward= -2.93 / -2.93 /  4879.33, epsilon=  0.100, speed= -0.08, gear= 1, damage= 0.00
Ep:1400 step:1360(704320), a_t=[s=-1.00, t= 0.000000, b= 1.000000], r_t=[r=-0.28, prog=-0.28, pen=-0.00, r_old=-0.28], Reward= -2.05 / -2.05 /  4879.33, epsilon=  0.100, speed= -0.10, gear= 1, damage= 0.00
Ep:1400 step:1380(704340), a_t=[s=-1.00, t= 0.000000, b= 1.000000], r_t=[r= 0.39, prog= 0.45, pen=-0.06, r_old= 0.39], Reward= -0.62 / -0.62 /  4879.33, epsilon=  0.100, speed=  0.15, gear= 1, damage= 0.00
Ep:1400 step:1400(704360), a_t=[s=-1.00, t= 0.000000, b= 1.000000], r_t=[r=-0.13, prog=-0.13, pen=-0.00, r_old=-0.13], Reward=  0.24 /  0.24 /  4879.33, epsilon=  0.100, speed= -0.04, gear= 1, damage= 0.00
Ep:1400 step:1420(704380), a_t=[s=-1.00, t= 0.000000, b= 1.000000], r_t=[r=-0.00, prog=-0.00, pen=-0.00, r_old=-0.00], Reward= -1.07 / -1.07 /  4879.33, epsilon=  0.100, speed= -0.00, gear= 1, damage= 0.00
Ep:1400 step:1440(704400), a_t=[s=-1.00, t= 0.000000, b= 1.000000], r_t=[r=-0.15, prog=-0.15, pen=-0.00, r_old=-0.15], Reward= -0.02 / -0.02 /  4879.33, epsilon=  0.100, speed= -0.05, gear= 1, damage= 0.00
Ep:1400 step:1460(704420), a_t=[s=-1.00, t= 0.000000, b= 1.000000], r_t=[r= 0.05, prog= 0.06, pen=-0.01, r_old= 0.05], Reward=  0.57 /  0.57 /  4879.33, epsilon=  0.100, speed=  0.02, gear= 1, damage= 0.00
Ep:1400 step:1480(704440), a_t=[s=-1.00, t= 0.000000, b= 1.000000], r_t=[r=-0.07, prog=-0.07, pen= 0.00, r_old=-0.07], Reward= -1.57 / -1.57 /  4879.33, epsilon=  0.100, speed= -0.03, gear= 1, damage= 0.00
Ep:1400 step:1500(704460), a_t=[s=-1.00, t= 0.000000, b= 1.000000], r_t=[r= 0.20, prog= 0.24, pen=-0.03, r_old= 0.20], Reward= -2.61 / -2.61 /  4879.33, epsilon=  0.100, speed=  0.08, gear= 1, damage= 0.00
Ep:1400 step:1520(704480), a_t=[s=-1.00, t= 0.000000, b= 1.000000], r_t=[r=-0.12, prog=-0.12, pen= 0.00, r_old=-0.12], Reward= -1.80 / -1.80 /  4879.33, epsilon=  0.100, speed= -0.04, gear= 1, damage= 0.00
Ep:1400 step:1540(704500), a_t=[s=-1.00, t= 0.000000, b= 1.000000], r_t=[r=-0.35, prog=-0.36, pen= 0.00, r_old=-0.35], Reward= -3.45 / -3.45 /  4879.33, epsilon=  0.100, speed= -0.12, gear= 1, damage= 0.00
Ep:1400 step:1560(704520), a_t=[s=-1.00, t= 0.000000, b= 1.000000], r_t=[r=-0.01, prog=-0.01, pen= 0.00, r_old=-0.01], Reward= -3.80 / -3.80 /  4879.33, epsilon=  0.100, speed= -0.00, gear= 1, damage= 0.00
Ep:1400 step:1580(704540), a_t=[s=-1.00, t= 0.000000, b= 1.000000], r_t=[r= 0.02, prog= 0.02, pen=-0.00, r_old= 0.02], Reward= -3.20 / -3.20 /  4879.33, epsilon=  0.100, speed=  0.01, gear= 1, damage= 0.00
Ep:1400 step:1600(704560), a_t=[s=-1.00, t= 0.000000, b= 1.000000], r_t=[r=-0.17, prog=-0.17, pen= 0.00, r_old=-0.17], Reward= -0.93 / -0.93 /  4879.33, epsilon=  0.100, speed= -0.06, gear= 1, damage= 0.00
Ep:1400 step:1620(704580), a_t=[s=-1.00, t= 0.000000, b= 1.000000], r_t=[r= 0.07, prog= 0.08, pen=-0.01, r_old= 0.07], Reward= -2.93 / -2.93 /  4879.33, epsilon=  0.100, speed=  0.03, gear= 1, damage= 0.00
Ep:1400 step:1640(704600), a_t=[s=-1.00, t= 0.000000, b= 1.000000], r_t=[r= 0.14, prog= 0.17, pen=-0.03, r_old= 0.14], Reward= -2.64 / -2.64 /  4879.33, epsilon=  0.100, speed=  0.06, gear= 1, damage= 0.00
Ep:1400 step:1660(704620), a_t=[s=-1.00, t= 0.000000, b= 1.000000], r_t=[r=-0.33, prog=-0.33, pen= 0.00, r_old=-0.33], Reward= -2.86 / -2.86 /  4879.33, epsilon=  0.100, speed= -0.11, gear= 1, damage= 0.00
Ep:1400 step:1680(704640), a_t=[s=-1.00, t= 0.000000, b= 1.000000], r_t=[r= 0.03, prog= 0.03, pen=-0.00, r_old= 0.03], Reward= -6.45 / -6.45 /  4879.33, epsilon=  0.100, speed=  0.01, gear= 1, damage= 0.00
Ep:1400 step:1700(704660), a_t=[s=-1.00, t= 0.000000, b= 1.000000], r_t=[r= 0.24, prog= 0.29, pen=-0.05, r_old= 0.24], Reward= -6.05 / -6.05 /  4879.33, epsilon=  0.100, speed=  0.10, gear= 1, damage= 0.00
Ep:1400 step:1720(704680), a_t=[s=-1.00, t= 0.000000, b= 1.000000], r_t=[r= 0.04, prog= 0.05, pen=-0.01, r_old= 0.04], Reward= -4.74 / -4.74 /  4879.33, epsilon=  0.100, speed=  0.02, gear= 1, damage= 0.00
Ep:1400 step:1740(704700), a_t=[s=-1.00, t= 0.000000, b= 1.000000], r_t=[r=-0.14, prog=-0.14, pen= 0.00, r_old=-0.14], Reward= -4.55 / -4.55 /  4879.33, epsilon=  0.100, speed= -0.05, gear= 1, damage= 0.00
Ep:1400 step:1760(704720), a_t=[s=-1.00, t= 0.000000, b= 1.000000], r_t=[r=-0.40, prog=-0.41, pen= 0.00, r_old=-0.40], Reward= -7.51 / -7.51 /  4879.33, epsilon=  0.100, speed= -0.14, gear= 1, damage= 0.00
Ep:1400 step:1780(704740), a_t=[s=-1.00, t= 0.000000, b= 1.000000], r_t=[r=-0.08, prog=-0.08, pen= 0.00, r_old=-0.08], Reward= -9.03 / -9.03 /  4879.33, epsilon=  0.100, speed= -0.03, gear= 1, damage= 0.00
Ep:1400 step:1800(704760), a_t=[s=-1.00, t= 0.000000, b= 1.000000], r_t=[r= 0.17, prog= 0.20, pen=-0.03, r_old= 0.17], Reward= -10.77 / -10.77 /  4879.33, epsilon=  0.100, speed=  0.07, gear= 1, damage= 0.00
Ep:1400 step:1820(704780), a_t=[s=-1.00, t= 0.000000, b= 1.000000], r_t=[r=-0.31, prog=-0.32, pen= 0.00, r_old=-0.31], Reward= -12.56 / -12.56 /  4879.33, epsilon=  0.100, speed= -0.11, gear= 1, damage= 0.00
Ep:1400 step:1840(704800), a_t=[s=-1.00, t= 0.000000, b= 1.000000], r_t=[r=-0.08, prog=-0.08, pen= 0.00, r_old=-0.08], Reward= -15.45 / -15.45 /  4879.33, epsilon=  0.100, speed= -0.03, gear= 1, damage= 0.00
Ep:1400 step:1860(704820), a_t=[s=-1.00, t= 0.000000, b= 1.000000], r_t=[r= 0.21, prog= 0.26, pen=-0.04, r_old= 0.21], Reward= -16.85 / -16.85 /  4879.33, epsilon=  0.100, speed=  0.09, gear= 1, damage= 0.00
Ep:1400 step:1880(704840), a_t=[s=-1.00, t= 0.000000, b= 1.000000], r_t=[r=-0.21, prog=-0.22, pen= 0.00, r_old=-0.21], Reward= -19.36 / -19.36 /  4879.33, epsilon=  0.100, speed= -0.07, gear= 1, damage= 0.00
Ep:1400 step:1900(704860), a_t=[s=-1.00, t= 0.000000, b= 1.000000], r_t=[r= 0.13, prog= 0.16, pen=-0.03, r_old= 0.13], Reward= -19.64 / -19.64 /  4879.33, epsilon=  0.100, speed=  0.05, gear= 1, damage= 0.00
Ep:1400 step:1920(704880), a_t=[s=-1.00, t= 0.000000, b= 1.000000], r_t=[r=-0.07, prog=-0.07, pen= 0.00, r_old=-0.07], Reward= -18.98 / -18.98 /  4879.33, epsilon=  0.100, speed= -0.02, gear= 1, damage= 0.00
Ep:1400 step:1940(704900), a_t=[s=-1.00, t= 0.000000, b= 1.000000], r_t=[r= 0.18, prog= 0.22, pen=-0.04, r_old= 0.18], Reward= -17.55 / -17.55 /  4879.33, epsilon=  0.100, speed=  0.08, gear= 1, damage= 0.00
Ep:1400 step:1960(704920), a_t=[s=-1.00, t= 0.000000, b= 1.000000], r_t=[r=-0.19, prog=-0.19, pen= 0.00, r_old=-0.19], Reward= -18.75 / -18.75 /  4879.33, epsilon=  0.100, speed= -0.06, gear= 1, damage= 0.00
Ep:1400 step:1980(704940), a_t=[s=-1.00, t= 0.000000, b= 1.000000], r_t=[r=-0.28, prog=-0.29, pen= 0.00, r_old=-0.28], Reward= -21.07 / -21.07 /  4879.33, epsilon=  0.100, speed= -0.10, gear= 1, damage= 0.00
=============================================================
 starting episode: 1401/2000
Waiting for server on 3109............
Count Down : 5
Client connected on 3109..............
Ep:1401 step:0(704960), a_t=[s=-0.96, t= 0.053396, b= 0.879437], r_t=[r= 0.22, prog= 0.22, pen=-0.00, r_old= 0.22], Reward=  0.22 /  0.22 /  4879.33, epsilon=  0.100, speed=  0.07, gear= 1, damage= 0.00
Ep:1401 step:20(704980), a_t=[s=-0.94, t= 0.043295, b= 0.898354], r_t=[r=-0.26, prog=-0.26, pen= 0.00, r_old=-0.26], Reward=  0.20 /  0.20 /  4879.33, epsilon=  0.100, speed= -0.09, gear= 1, damage= 0.00
