=============================================================
 starting episode: 0/2000
Client connected on 3103..............
Ep:0 step:0(1), a_t=[s= 0.19, t= 0.362220, b= 0.000000], r_t=[r= 0.30, prog= 0.30, pen=-0.00, r_old= 0.30], Reward=  0.30 /  0.30 / -inf, epsilon=  1.000, speed=  0.10, gear= 0, damage= 0.00
Ep:0 step:220(221), a_t=[s=-0.82, t= 0.608634, b= 0.000000], r_t=[r= 0.04, prog= 0.60, pen=-0.56, r_old= 0.04], Reward=  4776.00 /  4716.11 / -inf, epsilon=  0.999, speed=  0.26, gear= 1, damage= 541.00
Ep:0 step:240(241), a_t=[s=-1.00, t= 0.486575, b= 0.000000], r_t=[r= 0.08, prog= 0.62, pen=-0.54, r_old= 0.08], Reward=  4778.20 /  4718.31 / -inf, epsilon=  0.999, speed=  0.26, gear= 1, damage= 541.00
Ep:0 step:260(261), a_t=[s=-0.49, t= 0.558333, b= 0.000000], r_t=[r= 0.69, prog= 3.64, pen=-2.95, r_old= 0.69], Reward=  4783.38 /  4723.50 / -inf, epsilon=  0.999, speed=  1.43, gear= 1, damage= 541.00
Ep:0 step:280(281), a_t=[s=-0.32, t= 0.373888, b= 0.000000], r_t=[r= 0.81, prog= 2.87, pen=-2.05, r_old= 0.81], Reward=  4801.30 /  4741.41 / -inf, epsilon=  0.999, speed=  1.05, gear= 1, damage= 541.00
Ep:0 step:300(301), a_t=[s=-1.00, t= 0.328740, b= 0.000000], r_t=[r= 4.61, prog= 13.74, pen=-9.13, r_old= 4.61], Reward=  4806.09 /  4737.42 / -inf, epsilon=  0.999, speed=  4.82, gear= 1, damage= 615.00
Ep:0 step:320(321), a_t=[s=-0.69, t= 0.398213, b= 0.000000], r_t=[r= 12.42, prog= 30.52, pen=-18.10, r_old= 12.42], Reward=  4930.91 /  4862.24 / -inf, epsilon=  0.999, speed=  10.27, gear= 1, damage= 615.00
META = 1 ... Running backwards
=============================================================
 starting episode: 1/2000
Client connected on 3103..............
Ep:1 step:0(341), a_t=[s=-0.25, t= 0.442977, b= 0.000000], r_t=[r=-0.07, prog=-0.07, pen= 0.00, r_old=-0.07], Reward= -0.07 / -0.07 /  5053.32, epsilon=  0.999, speed= -0.02, gear= 1, damage= 0.00
Ep:1 step:20(361), a_t=[s=-0.43, t= 0.650635, b= 0.000000], r_t=[r=-4.65, prog= 54.39, pen=-59.03, r_old=-4.65], Reward=  473.19 /  473.19 /  5053.32, epsilon=  0.999, speed=  31.08, gear= 1, damage= 0.00
Ep:1 step:40(381), a_t=[s=-1.00, t= 0.389496, b= 0.000000], r_t=[r=-0.14, prog= 0.15, pen=-0.30, r_old=-0.14], Reward= -101.96 / -89.56 /  5053.32, epsilon=  0.999, speed=  0.10, gear= 1, damage= 420.00
Ep:1 step:60(401), a_t=[s= 1.00, t= 0.486448, b= 0.000000], r_t=[r=-0.18, prog= 0.21, pen=-0.38, r_old=-0.18], Reward= -104.77 / -92.37 /  5053.32, epsilon=  0.999, speed=  0.13, gear= 1, damage= 420.00
Ep:1 step:80(421), a_t=[s=-0.76, t= 0.405928, b= 0.000000], r_t=[r=-0.01, prog=-0.05, pen= 0.03, r_old=-0.01], Reward= -108.91 / -96.51 /  5053.32, epsilon=  0.999, speed= -0.03, gear= 1, damage= 420.00
Ep:1 step:100(441), a_t=[s=-0.02, t= 0.475945, b= 0.000000], r_t=[r=-0.15, prog= 0.25, pen=-0.41, r_old=-0.15], Reward= -113.02 / -100.62 /  5053.32, epsilon=  0.999, speed=  0.14, gear= 1, damage= 420.00
Ep:1 step:120(461), a_t=[s= 0.27, t= 0.379711, b= 0.000000], r_t=[r=-0.20, prog= 0.41, pen=-0.62, r_old=-0.20], Reward= -116.41 / -104.00 /  5053.32, epsilon=  0.998, speed=  0.22, gear= 1, damage= 420.00
Ep:1 step:140(481), a_t=[s=-0.47, t= 0.584880, b= 0.000000], r_t=[r=-0.11, prog= 0.26, pen=-0.37, r_old=-0.11], Reward= -120.10 / -107.70 /  5053.32, epsilon=  0.998, speed=  0.13, gear= 1, damage= 420.00
Ep:1 step:160(501), a_t=[s=-1.00, t= 0.407214, b= 0.000000], r_t=[r=-0.22, prog= 0.72, pen=-0.94, r_old=-0.22], Reward= -123.75 / -111.35 /  5053.32, epsilon=  0.998, speed=  0.34, gear= 1, damage= 420.00
Ep:1 step:180(521), a_t=[s=-0.68, t= 0.461242, b= 0.000000], r_t=[r=-0.18, prog= 0.69, pen=-0.87, r_old=-0.18], Reward= -127.10 / -114.70 /  5053.32, epsilon=  0.998, speed=  0.32, gear= 1, damage= 420.00
Ep:1 step:200(541), a_t=[s=-0.69, t= 0.443784, b= 0.000000], r_t=[r=-0.11, prog= 0.61, pen=-0.73, r_old=-0.11], Reward= -130.08 / -117.68 /  5053.32, epsilon=  0.998, speed=  0.27, gear= 1, damage= 420.00
Ep:1 step:220(561), a_t=[s=-1.00, t= 0.690245, b= 0.000000], r_t=[r=-0.09, prog= 0.64, pen=-0.73, r_old=-0.09], Reward= -132.29 / -119.89 /  5053.32, epsilon=  0.998, speed=  0.27, gear= 1, damage= 420.00
Ep:1 step:240(581), a_t=[s=-0.08, t= 0.504010, b= 0.000000], r_t=[r=-0.11, prog= 1.19, pen=-1.29, r_old=-0.11], Reward= -134.32 / -121.92 /  5053.32, epsilon=  0.998, speed=  0.49, gear= 1, damage= 420.00
Ep:1 step:260(601), a_t=[s=-1.00, t= 0.414217, b= 0.000000], r_t=[r=-0.02, prog= 0.32, pen=-0.34, r_old=-0.02], Reward= -135.43 / -123.03 /  5053.32, epsilon=  0.998, speed=  0.13, gear= 1, damage= 420.00
Ep:1 step:280(621), a_t=[s=-0.22, t= 0.422786, b= 0.000000], r_t=[r=-0.03, prog= 1.10, pen=-1.13, r_old=-0.03], Reward= -136.37 / -123.97 /  5053.32, epsilon=  0.998, speed=  0.44, gear= 1, damage= 420.00
Ep:1 step:300(641), a_t=[s= 0.98, t= 0.473639, b= 0.000000], r_t=[r= 0.05, prog= 2.26, pen=-2.22, r_old= 0.05], Reward= -136.32 / -123.92 /  5053.32, epsilon=  0.998, speed=  0.87, gear= 1, damage= 420.00
Ep:1 step:320(661), a_t=[s=-0.45, t= 0.451617, b= 0.000000], r_t=[r= 0.06, prog= 1.15, pen=-1.10, r_old= 0.06], Reward= -135.18 / -122.78 /  5053.32, epsilon=  0.998, speed=  0.44, gear= 1, damage= 420.00
Ep:1 step:340(681), a_t=[s=-0.97, t= 0.550068, b= 0.000000], r_t=[r= 0.10, prog= 1.46, pen=-1.36, r_old= 0.10], Reward= -133.01 / -120.61 /  5053.32, epsilon=  0.998, speed=  0.54, gear= 1, damage= 420.00
Ep:1 step:360(701), a_t=[s=-0.00, t= 0.563340, b= 0.000000], r_t=[r= 0.21, prog= 2.49, pen=-2.28, r_old= 0.21], Reward= -130.48 / -118.08 /  5053.32, epsilon=  0.998, speed=  0.92, gear= 1, damage= 420.00
Ep:1 step:380(721), a_t=[s=-0.27, t= 0.450781, b= 0.000000], r_t=[r= 0.21, prog= 2.05, pen=-1.84, r_old= 0.21], Reward= -126.28 / -113.88 /  5053.32, epsilon=  0.998, speed=  0.75, gear= 1, damage= 420.00
Ep:1 step:400(741), a_t=[s=-0.14, t= 0.389448, b= 0.000000], r_t=[r= 0.32, prog= 2.63, pen=-2.31, r_old= 0.32], Reward= -120.28 / -107.88 /  5053.32, epsilon=  0.998, speed=  0.95, gear= 1, damage= 420.00
Ep:1 step:420(761), a_t=[s=-1.00, t= 0.516620, b= 0.000000], r_t=[r= 0.24, prog= 1.74, pen=-1.50, r_old= 0.24], Reward= -113.52 / -101.12 /  5053.32, epsilon=  0.997, speed=  0.62, gear= 1, damage= 420.00
Ep:1 step:440(781), a_t=[s=-0.49, t= 0.404621, b= 0.000000], r_t=[r= 0.28, prog= 1.64, pen=-1.36, r_old= 0.28], Reward= -102.51 / -90.11 /  5053.32, epsilon=  0.997, speed=  0.58, gear= 1, damage= 420.00
Ep:1 step:460(801), a_t=[s= 0.61, t= 0.618525, b= 0.000000], r_t=[r= 1.44, prog= 7.18, pen=-5.74, r_old= 1.44], Reward= -83.41 / -71.01 /  5053.32, epsilon=  0.997, speed=  2.48, gear= 1, damage= 420.00
Ep:1 step:480(821), a_t=[s=-0.81, t= 0.372903, b= 0.000000], r_t=[r= 0.46, prog= 2.07, pen=-1.61, r_old= 0.46], Reward= -58.44 / -46.04 /  5053.32, epsilon=  0.997, speed=  0.71, gear= 1, damage= 420.00
Ep:1 step:500(841), a_t=[s=-1.00, t= 0.472083, b= 0.000000], r_t=[r= 1.25, prog= 5.56, pen=-4.31, r_old= 1.25], Reward= -41.98 / -29.58 /  5053.32, epsilon=  0.997, speed=  1.90, gear= 1, damage= 420.00
Ep:1 step:520(861), a_t=[s=-0.10, t= 0.593549, b= 0.022771], r_t=[r= 1.26, prog= 5.18, pen=-3.92, r_old= 1.26], Reward= -4.92 /  7.48 /  5053.32, epsilon=  0.997, speed=  1.76, gear= 1, damage= 420.00
Ep:1 step:540(881), a_t=[s= 0.59, t= 0.417837, b= 0.000000], r_t=[r= 1.85, prog= 7.19, pen=-5.34, r_old= 1.85], Reward=  36.14 /  48.54 /  5053.32, epsilon=  0.997, speed=  2.43, gear= 1, damage= 420.00
Ep:1 step:560(901), a_t=[s= 1.00, t= 0.595410, b= 0.000000], r_t=[r= 16.56, prog= 50.57, pen=-34.01, r_old= 16.56], Reward=  160.12 /  172.52 /  5053.32, epsilon=  0.997, speed=  16.86, gear= 1, damage= 420.00
Ep:1 step:580(921), a_t=[s=-0.09, t= 0.629231, b= 0.000000], r_t=[r= 19.08, prog= 56.68, pen=-37.60, r_old= 19.08], Reward=  509.21 /  521.61 /  5053.32, epsilon=  0.997, speed=  18.97, gear= 1, damage= 420.00
Ep:1 step:600(941), a_t=[s=-1.00, t= 0.602580, b= 0.000000], r_t=[r= 4.41, prog= 12.58, pen=-8.16, r_old= 4.41], Reward=  721.42 /  733.82 /  5053.32, epsilon=  0.997, speed=  4.22, gear= 1, damage= 420.00
Ep:1 step:620(961), a_t=[s= 0.93, t= 0.430820, b= 0.000000], r_t=[r= 2.38, prog= 6.98, pen=-4.60, r_old= 2.38], Reward=  771.21 /  783.61 /  5053.32, epsilon=  0.997, speed=  2.36, gear= 1, damage= 420.00
Ep:1 step:640(981), a_t=[s=-0.17, t= 0.578997, b= 0.000000], r_t=[r= 8.80, prog= 24.21, pen=-15.41, r_old= 8.80], Reward=  850.44 /  862.84 /  5053.32, epsilon=  0.997, speed=  8.13, gear= 1, damage= 420.00
Ep:1 step:660(1001), a_t=[s= 1.00, t= 0.423614, b= 0.000000], r_t=[r= 31.53, prog= 79.90, pen=-48.37, r_old= 31.53], Reward=  1179.12 /  1191.52 /  5053.32, epsilon=  0.997, speed=  26.92, gear= 1, damage= 420.00
META = 1 ... Running backwards
=============================================================
 starting episode: 2/2000
Client connected on 3103..............
Ep:2 step:0(1016), a_t=[s=-0.71, t= 0.455873, b= 0.000000], r_t=[r=-0.02, prog=-0.02, pen= 0.00, r_old=-0.02], Reward= -0.02 / -0.02 /  5053.32, epsilon=  0.997, speed= -0.01, gear= 1, damage= 0.00
Ep:2 step:20(1036), a_t=[s=-0.72, t= 0.476670, b= 0.000000], r_t=[r= 13.56, prog= 47.64, pen=-34.08, r_old= 13.56], Reward=  535.24 /  535.24 /  5053.32, epsilon=  0.997, speed=  23.57, gear= 1, damage= 0.00
Ep:2 step:40(1056), a_t=[s= 1.00, t= 0.459079, b= 0.000000], r_t=[r=-0.14, prog= 0.24, pen=-0.38, r_old=-0.14], Reward=  35.89 /  45.23 /  5053.32, epsilon=  0.996, speed=  0.13, gear= 1, damage= 377.00
Ep:2 step:60(1076), a_t=[s=-0.14, t= 0.647180, b= 0.015232], r_t=[r=-0.03, prog= 0.05, pen=-0.08, r_old=-0.03], Reward=  33.28 /  42.62 /  5053.32, epsilon=  0.996, speed=  0.03, gear= 1, damage= 377.00
Ep:2 step:80(1096), a_t=[s= 0.32, t= 0.300361, b= 0.000000], r_t=[r=-0.21, prog= 0.52, pen=-0.73, r_old=-0.21], Reward=  30.40 /  39.74 /  5053.32, epsilon=  0.996, speed=  0.27, gear= 1, damage= 377.00
Ep:2 step:100(1116), a_t=[s=-0.61, t= 0.470341, b= 0.000000], r_t=[r=-0.04, prog= 0.12, pen=-0.16, r_old=-0.04], Reward=  27.02 /  36.36 /  5053.32, epsilon=  0.996, speed=  0.06, gear= 1, damage= 377.00
Ep:2 step:120(1136), a_t=[s=-1.00, t= 0.421592, b= 0.000000], r_t=[r=-0.09, prog= 0.34, pen=-0.43, r_old=-0.09], Reward=  24.23 /  33.57 /  5053.32, epsilon=  0.996, speed=  0.16, gear= 1, damage= 377.00
Ep:2 step:140(1156), a_t=[s=-0.01, t= 0.285784, b= 0.000000], r_t=[r=-0.06, prog= 0.30, pen=-0.35, r_old=-0.06], Reward=  21.02 /  30.36 /  5053.32, epsilon=  0.996, speed=  0.13, gear= 1, damage= 377.00
Ep:2 step:160(1176), a_t=[s=-1.00, t= 0.305435, b= 0.000000], r_t=[r=-0.02, prog= 0.12, pen=-0.14, r_old=-0.02], Reward=  18.79 /  28.13 /  5053.32, epsilon=  0.996, speed=  0.05, gear= 1, damage= 377.00
Ep:2 step:180(1196), a_t=[s=-0.31, t= 0.425813, b= 0.000000], r_t=[r=-0.08, prog= 0.77, pen=-0.85, r_old=-0.08], Reward=  16.77 /  26.11 /  5053.32, epsilon=  0.996, speed=  0.32, gear= 1, damage= 377.00
Ep:2 step:200(1216), a_t=[s= 0.27, t= 0.516022, b= 0.000000], r_t=[r=-0.07, prog= 1.10, pen=-1.17, r_old=-0.07], Reward=  15.36 /  24.70 /  5053.32, epsilon=  0.996, speed=  0.45, gear= 1, damage= 377.00
Ep:2 step:220(1236), a_t=[s=-1.00, t= 0.337244, b= 0.000000], r_t=[r=-0.02, prog= 0.67, pen=-0.68, r_old=-0.02], Reward=  14.49 /  23.83 /  5053.32, epsilon=  0.996, speed=  0.26, gear= 1, damage= 377.00
Ep:2 step:240(1256), a_t=[s=-1.00, t= 0.491481, b= 0.000000], r_t=[r=-0.00, prog= 1.06, pen=-1.06, r_old=-0.00], Reward=  14.30 /  23.64 /  5053.32, epsilon=  0.996, speed=  0.42, gear= 1, damage= 377.00
Ep:2 step:260(1276), a_t=[s=-0.94, t= 0.556478, b= 0.000000], r_t=[r= 0.04, prog= 1.31, pen=-1.28, r_old= 0.04], Reward=  14.63 /  23.97 /  5053.32, epsilon=  0.996, speed=  0.50, gear= 1, damage= 377.00
Ep:2 step:280(1296), a_t=[s=-0.46, t= 0.386669, b= 0.000000], r_t=[r= 0.05, prog= 1.22, pen=-1.17, r_old= 0.05], Reward=  15.60 /  24.94 /  5053.32, epsilon=  0.996, speed=  0.47, gear= 1, damage= 377.00
Ep:2 step:300(1316), a_t=[s=-1.00, t= 0.487558, b= 0.000000], r_t=[r= 0.03, prog= 0.53, pen=-0.50, r_old= 0.03], Reward=  17.32 /  26.66 /  5053.32, epsilon=  0.996, speed=  0.20, gear= 1, damage= 377.00
Ep:2 step:320(1336), a_t=[s=-0.94, t= 0.534295, b= 0.000000], r_t=[r= 0.14, prog= 1.60, pen=-1.46, r_old= 0.14], Reward=  20.57 /  29.91 /  5053.32, epsilon=  0.996, speed=  0.59, gear= 1, damage= 377.00
Ep:2 step:340(1356), a_t=[s= 0.00, t= 0.621066, b= 0.000000], r_t=[r= 0.26, prog= 2.47, pen=-2.21, r_old= 0.26], Reward=  24.81 /  34.14 /  5053.32, epsilon=  0.995, speed=  0.90, gear= 1, damage= 377.00
Ep:2 step:360(1376), a_t=[s=-0.71, t= 0.409263, b= 0.000000], r_t=[r= 0.15, prog= 1.24, pen=-1.08, r_old= 0.15], Reward=  29.61 /  38.95 /  5053.32, epsilon=  0.995, speed=  0.45, gear= 1, damage= 377.00
Ep:2 step:380(1396), a_t=[s=-0.37, t= 0.502973, b= 0.000000], r_t=[r= 0.29, prog= 2.08, pen=-1.80, r_old= 0.29], Reward=  35.72 /  45.06 /  5053.32, epsilon=  0.995, speed=  0.75, gear= 1, damage= 377.00
Ep:2 step:400(1416), a_t=[s=-0.05, t= 0.625818, b= 0.000000], r_t=[r= 0.49, prog= 3.19, pen=-2.69, r_old= 0.49], Reward=  44.83 /  54.17 /  5053.32, epsilon=  0.995, speed=  1.13, gear= 1, damage= 377.00
Ep:2 step:420(1436), a_t=[s=-0.99, t= 0.529107, b= 0.000000], r_t=[r= 0.43, prog= 2.41, pen=-1.98, r_old= 0.43], Reward=  57.06 /  66.40 /  5053.32, epsilon=  0.995, speed=  0.84, gear= 1, damage= 377.00
Ep:2 step:440(1456), a_t=[s=-0.29, t= 0.374769, b= 0.000000], r_t=[r= 0.40, prog= 2.21, pen=-1.80, r_old= 0.40], Reward=  69.81 /  79.15 /  5053.32, epsilon=  0.995, speed=  0.77, gear= 1, damage= 377.00
Ep:2 step:460(1476), a_t=[s=-0.28, t= 0.433036, b= 0.000000], r_t=[r= 0.49, prog= 2.56, pen=-2.07, r_old= 0.49], Reward=  82.70 /  92.04 /  5053.32, epsilon=  0.995, speed=  0.89, gear= 1, damage= 377.00
Ep:2 step:480(1496), a_t=[s= 0.43, t= 0.222411, b= 0.000000], r_t=[r= 0.82, prog= 3.56, pen=-2.74, r_old= 0.82], Reward=  108.25 /  117.59 /  5053.32, epsilon=  0.995, speed=  1.22, gear= 1, damage= 377.00
Ep:2 step:500(1516), a_t=[s=-0.56, t= 0.475165, b= 0.000000], r_t=[r= 8.10, prog= 29.86, pen=-21.76, r_old= 8.10], Reward=  156.86 /  166.20 /  5053.32, epsilon=  0.995, speed=  10.05, gear= 1, damage= 377.00
Ep:2 step:520(1536), a_t=[s=-0.86, t= 0.563256, b= 0.000000], r_t=[r= 18.50, prog= 68.69, pen=-50.19, r_old=-1.00], Reward=  384.01 /  373.85 /  5053.32, epsilon=  0.995, speed=  23.23, gear= 1, damage= 378.00
Ep:2 step:540(1556), a_t=[s=-0.54, t= 0.452605, b= 0.000000], r_t=[r= 168.50, prog= 184.26, pen=-15.76, r_old= 168.50], Reward=  1695.10 /  1684.94 /  5053.32, epsilon=  0.995, speed=  62.24, gear= 2, damage= 378.00
Ep:2 step:560(1576), a_t=[s= 0.05, t= 0.424243, b= 0.000000], r_t=[r=-0.25, prog= 0.23, pen=-0.48, r_old=-0.25], Reward=  2531.26 /  2537.05 /  5053.32, epsilon=  0.995, speed=  0.20, gear= 1, damage= 1269.00
Ep:2 step:580(1596), a_t=[s= 0.56, t= 0.556318, b= 0.022475], r_t=[r=-0.07, prog= 0.08, pen=-0.15, r_old=-0.07], Reward=  2529.11 /  2534.90 /  5053.32, epsilon=  0.995, speed=  0.06, gear= 1, damage= 1269.00
Ep:2 step:600(1616), a_t=[s=-0.13, t= 0.452310, b= 0.000000], r_t=[r=-0.08, prog= 0.09, pen=-0.17, r_old=-0.08], Reward=  2527.03 /  2532.82 /  5053.32, epsilon=  0.995, speed=  0.07, gear= 1, damage= 1269.00
Ep:2 step:620(1636), a_t=[s=-0.10, t= 0.476751, b= 0.000000], r_t=[r=-0.01, prog=-0.02, pen= 0.01, r_old=-0.01], Reward=  2525.21 /  2531.00 /  5053.32, epsilon=  0.995, speed= -0.02, gear= 1, damage= 1269.00
Ep:2 step:640(1656), a_t=[s= 1.00, t= 0.556005, b= 0.000000], r_t=[r=-0.26, prog= 0.44, pen=-0.70, r_old=-0.26], Reward=  2522.78 /  2528.57 /  5053.32, epsilon=  0.994, speed=  0.30, gear= 1, damage= 1269.00
Ep:2 step:660(1676), a_t=[s= 1.00, t= 0.605359, b= 0.000000], r_t=[r=-0.23, prog= 0.51, pen=-0.74, r_old=-0.23], Reward=  2520.85 /  2526.64 /  5053.32, epsilon=  0.994, speed=  0.32, gear= 1, damage= 1269.00
Ep:2 step:680(1696), a_t=[s= 0.99, t= 0.564372, b= 0.000000], r_t=[r=-0.05, prog= 0.16, pen=-0.21, r_old=-0.05], Reward=  2518.27 /  2524.06 /  5053.32, epsilon=  0.994, speed=  0.09, gear= 1, damage= 1269.00
Ep:2 step:700(1716), a_t=[s=-0.34, t= 0.373261, b= 0.000000], r_t=[r=-0.02, prog= 0.11, pen=-0.13, r_old=-0.02], Reward=  2516.77 /  2522.56 /  5053.32, epsilon=  0.994, speed=  0.06, gear= 1, damage= 1269.00
Ep:2 step:720(1736), a_t=[s=-0.89, t= 0.467199, b= 0.000000], r_t=[r=-0.09, prog= 0.47, pen=-0.57, r_old=-0.09], Reward=  2515.56 /  2521.35 /  5053.32, epsilon=  0.994, speed=  0.25, gear= 1, damage= 1269.00
Ep:2 step:740(1756), a_t=[s=-1.00, t= 0.598738, b= 0.000000], r_t=[r=-0.06, prog= 0.90, pen=-0.96, r_old=-0.06], Reward=  2514.07 /  2519.86 /  5053.32, epsilon=  0.994, speed=  0.43, gear= 1, damage= 1269.00
Ep:2 step:760(1776), a_t=[s= 0.60, t= 0.516933, b= 0.000000], r_t=[r=-0.00, prog= 0.40, pen=-0.40, r_old=-0.00], Reward=  2513.56 /  2519.35 /  5053.32, epsilon=  0.994, speed=  0.18, gear= 1, damage= 1269.00
Ep:2 step:780(1796), a_t=[s=-0.64, t= 0.605153, b= 0.033537], r_t=[r= 0.08, prog= 1.50, pen=-1.41, r_old= 0.08], Reward=  2513.99 /  2519.79 /  5053.32, epsilon=  0.994, speed=  0.66, gear= 1, damage= 1269.00
Ep:2 step:800(1816), a_t=[s=-0.85, t= 0.382337, b= 0.000000], r_t=[r= 0.10, prog= 0.90, pen=-0.80, r_old= 0.10], Reward=  2515.81 /  2521.60 /  5053.32, epsilon=  0.994, speed=  0.38, gear= 1, damage= 1269.00
Ep:2 step:820(1836), a_t=[s= 1.00, t= 0.567766, b= 0.000000], r_t=[r= 0.30, prog= 1.35, pen=-1.05, r_old= 0.30], Reward=  2525.17 /  2530.96 /  5053.32, epsilon=  0.994, speed=  0.52, gear= 1, damage= 1269.00
Ep:2 step:840(1856), a_t=[s= 0.85, t= 0.250949, b= 0.000000], r_t=[r= 2.22, prog= 6.41, pen=-4.19, r_old= 2.22], Reward=  2565.52 /  2571.31 /  5053.32, epsilon=  0.994, speed=  2.23, gear= 1, damage= 1269.00
Ep:2 step:860(1876), a_t=[s=-0.24, t= 0.454395, b= 0.000000], r_t=[r= 31.90, prog= 95.03, pen=-63.13, r_old= 31.90], Reward=  2964.83 /  2970.62 /  5053.32, epsilon=  0.994, speed=  34.60, gear= 1, damage= 1269.00
Ep:2 step:880(1896), a_t=[s=-1.00, t= 0.421175, b= 0.000000], r_t=[r=-0.17, prog= 0.08, pen=-0.25, r_old=-0.17], Reward=  2857.79 /  2870.74 /  5053.32, epsilon=  0.994, speed=  0.10, gear= 1, damage= 1917.00
Ep:2 step:900(1916), a_t=[s= 0.08, t= 0.528994, b= 0.000000], r_t=[r=-0.05, prog= 0.02, pen=-0.07, r_old=-0.05], Reward=  2855.75 /  2868.71 /  5053.32, epsilon=  0.994, speed=  0.03, gear= 1, damage= 1917.00
Ep:2 step:920(1936), a_t=[s=-0.15, t= 0.583693, b= 0.000000], r_t=[r=-0.12, prog= 0.05, pen=-0.17, r_old=-0.12], Reward=  2853.47 /  2866.42 /  5053.32, epsilon=  0.994, speed=  0.07, gear= 1, damage= 1917.00
Ep:2 step:940(1956), a_t=[s=-0.86, t= 0.556481, b= 0.000000], r_t=[r=-0.20, prog= 0.09, pen=-0.28, r_old=-0.20], Reward=  2850.85 /  2863.80 /  5053.32, epsilon=  0.993, speed=  0.12, gear= 1, damage= 1917.00
Ep:2 step:960(1976), a_t=[s= 1.00, t= 0.275417, b= 0.000000], r_t=[r=-0.15, prog= 0.06, pen=-0.21, r_old=-0.15], Reward=  2848.56 /  2861.51 /  5053.32, epsilon=  0.993, speed=  0.09, gear= 1, damage= 1917.00
Ep:2 step:980(1996), a_t=[s=-0.93, t= 0.489743, b= 0.000000], r_t=[r=-0.07, prog= 0.03, pen=-0.10, r_old=-0.07], Reward=  2846.81 /  2859.76 /  5053.32, epsilon=  0.993, speed=  0.04, gear= 1, damage= 1917.00
Ep:2 step:1000(2016), a_t=[s= 1.00, t= 0.557014, b= 0.000000], r_t=[r=-0.26, prog= 0.15, pen=-0.41, r_old=-0.26], Reward=  2844.83 /  2857.78 /  5053.32, epsilon=  0.993, speed=  0.17, gear= 1, damage= 1917.00
Ep:2 step:1020(2036), a_t=[s= 0.37, t= 0.555862, b= 0.000000], r_t=[r=-0.12, prog= 0.07, pen=-0.19, r_old=-0.12], Reward=  2843.15 /  2856.10 /  5053.32, epsilon=  0.993, speed=  0.08, gear= 1, damage= 1917.00
