=============================================================
 starting episode: 0/2000
Client connected on 3105..............
Ep:0 step:0(1), a_t=[s= 0.24, t= 0.550774, b= 0.000000], r_t=[r= 0.30, prog= 0.30, pen=-0.00, r_old= 0.30], Reward=  0.30 /  0.30 / -inf, epsilon=  1.000, speed=  0.10, gear= 0, damage= 0.00
Ep:2 step:780(1154), a_t=[s= 0.94, t= 0.226000, b= 0.000000], r_t=[r= 12.29, prog= 30.43, pen=-18.14, r_old= 12.29], Reward=  2459.34 /  2459.34 /  846.39, epsilon=  0.996, speed=  10.25, gear= 1, damage= 699.00
Ep:2 step:800(1174), a_t=[s=-0.24, t= 0.469659, b= 0.000000], r_t=[r= 2.97, prog= 9.96, pen=-6.99, r_old= 2.97], Reward=  2681.61 /  2681.61 /  846.39, epsilon=  0.996, speed=  3.59, gear= 1, damage= 699.00
Ep:2 step:820(1194), a_t=[s= 1.00, t= 0.440292, b= 0.000000], r_t=[r= 1.11, prog= 3.49, pen=-2.39, r_old= 1.11], Reward=  2700.46 /  2700.46 /  846.39, epsilon=  0.996, speed=  1.24, gear= 1, damage= 699.00
Ep:2 step:840(1214), a_t=[s= 1.00, t= 0.373009, b= 0.000000], r_t=[r= 0.46, prog= 1.38, pen=-0.92, r_old= 0.46], Reward=  2722.21 /  2722.21 /  846.39, epsilon=  0.996, speed=  0.48, gear= 1, damage= 699.00
Ep:2 step:860(1234), a_t=[s= 1.00, t= 0.314084, b= 0.000000], r_t=[r=-13.00, prog= 4.71, pen=-16.08, r_old=-13.00], Reward=  2749.73 /  2749.73 /  846.39, epsilon=  0.996, speed=  1.64, gear= 1, damage= 715.00
Ep:2 step:880(1254), a_t=[s= 0.16, t= 0.617556, b= 0.000000], r_t=[r= 2.53, prog= 7.07, pen=-4.55, r_old= 2.53], Reward=  2782.49 /  2782.49 /  846.39, epsilon=  0.996, speed=  2.44, gear= 1, damage= 715.00
Ep:2 step:900(1274), a_t=[s= 0.13, t= 0.515351, b= 0.000000], r_t=[r= 2.27, prog= 6.18, pen=-3.91, r_old= 2.27], Reward=  2819.17 /  2819.17 /  846.39, epsilon=  0.996, speed=  2.12, gear= 1, damage= 715.00
Ep:2 step:920(1294), a_t=[s= 0.70, t= 0.647788, b= 0.000000], r_t=[r= 1.48, prog= 4.18, pen=-2.71, r_old= 1.48], Reward=  2869.92 /  2869.92 /  846.39, epsilon=  0.996, speed=  1.45, gear= 1, damage= 737.00
Ep:2 step:940(1314), a_t=[s= 0.03, t= 0.385217, b= 0.000000], r_t=[r= 5.79, prog= 15.08, pen=-9.29, r_old= 5.79], Reward=  2935.80 /  2935.80 /  846.39, epsilon=  0.996, speed=  5.13, gear= 1, damage= 737.00
Ep:2 step:960(1334), a_t=[s=-0.08, t= 0.556353, b= 0.000000], r_t=[r= 5.06, prog= 13.04, pen=-7.98, r_old= 5.06], Reward=  3005.40 /  3005.40 /  846.39, epsilon=  0.996, speed=  4.42, gear= 1, damage= 737.00
Ep:2 step:980(1354), a_t=[s=-0.60, t= 0.352791, b= 0.000000], r_t=[r= 3.67, prog= 10.05, pen=-6.38, r_old= 3.67], Reward=  3015.53 /  3015.53 /  846.39, epsilon=  0.995, speed=  3.46, gear= 1, damage= 778.00
Ep:2 step:1000(1374), a_t=[s= 0.26, t= 0.513547, b= 0.000000], r_t=[r= 4.21, prog= 11.00, pen=-6.79, r_old= 4.21], Reward=  3093.15 /  3093.15 /  846.39, epsilon=  0.995, speed=  3.74, gear= 1, damage= 778.00
Ep:2 step:1020(1394), a_t=[s= 0.72, t= 0.528571, b= 0.000000], r_t=[r= 2.53, prog= 6.69, pen=-4.16, r_old= 2.53], Reward=  3147.18 /  3147.18 /  846.39, epsilon=  0.995, speed=  2.28, gear= 1, damage= 791.00
Ep:2 step:1040(1414), a_t=[s= 0.56, t= 0.369439, b= 0.000000], r_t=[r= 1.31, prog= 3.52, pen=-2.21, r_old= 1.31], Reward=  3171.76 /  3171.76 /  846.39, epsilon=  0.995, speed=  1.20, gear= 1, damage= 833.00
Ep:2 step:1060(1434), a_t=[s=-0.28, t= 0.401988, b= 0.000000], r_t=[r= 8.69, prog= 24.29, pen=-15.60, r_old= 8.69], Reward=  3178.94 /  3178.94 /  846.39, epsilon=  0.995, speed=  8.40, gear= 1, damage= 921.00
Ep:2 step:1080(1454), a_t=[s= 0.31, t= 0.437645, b= 0.000000], r_t=[r= 1.48, prog= 4.14, pen=-2.66, r_old= 1.48], Reward=  3234.02 /  3234.02 /  846.39, epsilon=  0.995, speed=  1.43, gear= 1, damage= 940.00
Ep:2 step:1100(1474), a_t=[s= 0.36, t= 0.420723, b= 0.000000], r_t=[r= 5.12, prog= 13.41, pen=-8.28, r_old= 5.12], Reward=  3285.97 /  3285.97 /  846.39, epsilon=  0.995, speed=  4.56, gear= 1, damage= 940.00
Ep:2 step:1120(1494), a_t=[s= 0.23, t= 0.600392, b= 0.000000], r_t=[r= 10.68, prog= 28.32, pen=-17.64, r_old= 10.68], Reward=  3385.70 /  3385.70 /  846.39, epsilon=  0.995, speed=  9.67, gear= 1, damage= 971.00
Ep:2 step:1140(1514), a_t=[s= 0.71, t= 0.564693, b= 0.000000], r_t=[r= 1.57, prog= 4.55, pen=-2.98, r_old= 1.57], Reward=  3517.29 /  3517.29 /  846.39, epsilon=  0.995, speed=  1.59, gear= 1, damage= 988.00
Ep:2 step:1160(1534), a_t=[s= 0.40, t= 0.534263, b= 0.000000], r_t=[r= 3.42, prog= 9.54, pen=-6.12, r_old= 3.42], Reward=  3554.66 /  3554.66 /  846.39, epsilon=  0.995, speed=  3.29, gear= 1, damage= 988.00
Ep:2 step:1180(1554), a_t=[s= 1.00, t= 0.433495, b= 0.000000], r_t=[r= 2.05, prog= 5.44, pen=-3.40, r_old= 2.05], Reward=  3630.90 /  3630.90 /  846.39, epsilon=  0.995, speed=  1.86, gear= 1, damage= 990.00
Ep:2 step:1200(1574), a_t=[s= 1.00, t= 0.239791, b= 0.000000], r_t=[r= 1.64, prog= 4.35, pen=-2.71, r_old= 1.64], Reward=  3688.32 /  3688.32 /  846.39, epsilon=  0.995, speed=  1.48, gear= 1, damage= 990.00
Ep:2 step:1220(1594), a_t=[s= 1.00, t= 0.517445, b= 0.000000], r_t=[r=-42.00, prog= 15.55, pen=-52.09, r_old=-42.00], Reward=  3681.96 /  3681.96 /  846.39, epsilon=  0.995, speed=  5.41, gear= 1, damage= 1072.00
Ep:2 step:1240(1614), a_t=[s= 1.00, t= 0.530394, b= 0.000000], r_t=[r= 1.92, prog= 5.33, pen=-3.41, r_old= 1.92], Reward=  3724.11 /  3724.11 /  846.39, epsilon=  0.995, speed=  1.84, gear= 1, damage= 1072.00
Ep:2 step:1260(1634), a_t=[s=-0.77, t= 0.532663, b= 0.000000], r_t=[r= 7.58, prog= 19.21, pen=-11.63, r_old= 7.58], Reward=  3789.45 /  3789.45 /  846.39, epsilon=  0.995, speed=  6.50, gear= 1, damage= 1072.00
Ep:2 step:1280(1654), a_t=[s=-0.04, t= 0.405569, b= 0.000000], r_t=[r= 2.38, prog= 6.37, pen=-3.99, r_old= 2.38], Reward=  3730.87 /  3730.87 /  846.39, epsilon=  0.994, speed=  2.18, gear= 1, damage= 1190.00
Ep:2 step:1300(1674), a_t=[s= 1.00, t= 0.594866, b= 0.012559], r_t=[r= 0.97, prog= 3.21, pen=-2.23, r_old= 0.97], Reward=  3643.03 /  3643.03 /  846.39, epsilon=  0.994, speed=  1.15, gear= 1, damage= 1334.00
Ep:2 step:1320(1694), a_t=[s=-0.00, t= 0.567574, b= 0.000000], r_t=[r= 1.42, prog= 4.53, pen=-3.11, r_old= 1.42], Reward=  3658.63 /  3658.63 /  846.39, epsilon=  0.994, speed=  1.61, gear= 1, damage= 1334.00
Ep:2 step:1340(1714), a_t=[s= 1.00, t= 0.441996, b= 0.000000], r_t=[r= 1.37, prog= 3.89, pen=-2.52, r_old= 1.37], Reward=  3712.01 /  3712.01 /  846.39, epsilon=  0.994, speed=  1.35, gear= 1, damage= 1334.00
Ep:2 step:1360(1734), a_t=[s= 0.01, t= 0.568949, b= 0.000000], r_t=[r= 2.72, prog= 7.54, pen=-4.82, r_old= 2.72], Reward=  3747.50 /  3747.50 /  846.39, epsilon=  0.994, speed=  2.60, gear= 1, damage= 1334.00
Ep:2 step:1380(1754), a_t=[s= 0.81, t= 0.584205, b= 0.000000], r_t=[r= 4.41, prog= 11.55, pen=-7.14, r_old= 4.41], Reward=  3848.90 /  3848.90 /  846.39, epsilon=  0.994, speed=  3.93, gear= 1, damage= 1334.00
Ep:2 step:1400(1774), a_t=[s=-0.29, t= 0.486925, b= 0.000000], r_t=[r= 17.92, prog= 43.05, pen=-25.14, r_old= 17.92], Reward=  3961.93 /  3961.93 /  846.39, epsilon=  0.994, speed=  14.44, gear= 1, damage= 1354.00
Ep:2 step:1420(1794), a_t=[s= 0.00, t= 0.608588, b= 0.000000], r_t=[r= 1.26, prog= 4.07, pen=-2.81, r_old= 1.26], Reward=  4023.08 /  4023.08 /  846.39, epsilon=  0.994, speed=  1.45, gear= 1, damage= 1374.00
Ep:2 step:1440(1814), a_t=[s=-0.55, t= 0.452726, b= 0.000000], r_t=[r= 1.86, prog= 5.55, pen=-3.69, r_old= 1.86], Reward=  4046.04 /  4046.04 /  846.39, epsilon=  0.994, speed=  1.95, gear= 1, damage= 1374.00
Ep:2 step:1460(1834), a_t=[s= 0.42, t= 0.393748, b= 0.000000], r_t=[r= 3.13, prog= 8.48, pen=-5.35, r_old= 3.13], Reward=  4102.48 /  4102.48 /  846.39, epsilon=  0.994, speed=  2.91, gear= 1, damage= 1374.00
Ep:2 step:1480(1854), a_t=[s=-0.35, t= 0.561623, b= 0.000000], r_t=[r= 5.14, prog= 14.27, pen=-9.13, r_old= 5.14], Reward=  4181.09 /  4181.09 /  846.39, epsilon=  0.994, speed=  4.92, gear= 1, damage= 1395.00
Ep:2 step:1500(1874), a_t=[s= 1.00, t= 0.540851, b= 0.000000], r_t=[r= 3.10, prog= 8.70, pen=-5.60, r_old= 3.10], Reward=  4207.57 /  4207.57 /  846.39, epsilon=  0.994, speed=  3.01, gear= 1, damage= 1424.00
Ep:2 step:1520(1894), a_t=[s=-0.11, t= 0.437632, b= 0.000000], r_t=[r= 3.60, prog= 9.86, pen=-6.25, r_old= 3.60], Reward=  4255.42 /  4255.42 /  846.39, epsilon=  0.994, speed=  3.39, gear= 1, damage= 1424.00
Ep:2 step:1540(1914), a_t=[s=-0.47, t= 0.415494, b= 0.000000], r_t=[r= 2.20, prog= 5.74, pen=-3.55, r_old= 2.20], Reward=  4332.88 /  4332.88 /  846.39, epsilon=  0.994, speed=  1.95, gear= 1, damage= 1424.00
Ep:2 step:1560(1934), a_t=[s=-0.66, t= 0.453805, b= 0.000000], r_t=[r= 5.09, prog= 13.36, pen=-8.27, r_old= 5.09], Reward=  4401.44 /  4401.44 /  846.39, epsilon=  0.994, speed=  4.55, gear= 1, damage= 1443.00
Ep:2 step:1580(1954), a_t=[s= 0.22, t= 0.534889, b= 0.000000], r_t=[r= 4.44, prog= 11.57, pen=-7.13, r_old= 4.44], Reward=  4467.86 /  4467.86 /  846.39, epsilon=  0.993, speed=  3.94, gear= 1, damage= 1443.00
Ep:2 step:1600(1974), a_t=[s=-0.49, t= 0.480872, b= 0.000000], r_t=[r= 6.58, prog= 16.78, pen=-10.19, r_old= 6.58], Reward=  4547.86 /  4547.86 /  846.39, epsilon=  0.993, speed=  5.68, gear= 1, damage= 1443.00
Ep:2 step:1620(1994), a_t=[s=-0.81, t= 0.285892, b= 0.000000], r_t=[r= 3.69, prog= 10.18, pen=-6.49, r_old= 3.69], Reward=  4648.37 /  4648.37 /  846.39, epsilon=  0.993, speed=  3.51, gear= 1, damage= 1478.00
Ep:2 step:1640(2014), a_t=[s= 1.00, t= 0.344021, b= 0.000000], r_t=[r= 2.14, prog= 5.69, pen=-3.56, r_old= 2.14], Reward=  4731.26 /  4731.26 /  846.39, epsilon=  0.993, speed=  1.95, gear= 1, damage= 1478.00
